Institution,Defined Objectives,Categories
IOC,"Advance Ocean Science, Improve Methodologies, Promote Peaceful Ocean Study, Enhance International Cooperation, Facilitate Data Exchange, Share Research Results, Develop Research Infrastructure and Support Oceanography Training.","Ocean and Marine Science, International Cooperation and Coordination"
FAO,"Collect and Disseminate Information on Nutrition, Food and Agriculture, Promote Scientific and Technological Research, Improve Education and Administration in Agriculture, Conserve Natural Resources, Enhance Agricultural Production Methods, Support Food and Agricultural Product Marketing, Promote Agricultural Credit and Commodity Policies, Provide Technical Assistance, Organize Missions for Government Support.","Food Security, International Cooperation and Coordination"
IMO Secretariat,"Provide Machinery for Cooperation Among Governments on Technical Shipping Matters, Encourage Removal of Discriminatory Actions and Restrictions in International Shipping, Address Unfair Restrictive Practices by Shipping Concerns, Consider Matters Related to Shipping's Effect on the Marine Environment, Facilitate Exchange of Information Among Governments, Consider Matters Affecting Freedom of Shipping for All Flags in International Trade.","Shipping and Maritime Law, International Cooperation and Coordination"
UN DOALOS,"Promote Understanding of UNCLOS and Related Agreements, Aid in Uniform Application of Legal Frameworks, Support Meetings on Sustainable Marine Resource Management and Dispute Resolution, Assist Commission on Limits of the Continental Shelf with Boundary Delineation, Provide Policy Guidance on Ocean and Maritime Law to the General Assembly, Offer Support to UNFSA Review Conference and State Parties Consultations, Provide Policy Recommendations for Ocean Affairs and Sustainable Fisheries.","International Law and Sustainable Marine Resource Management, Ocean and Marine Science"
UNFCCC,"Organize and Service Sessions of the Conference of the Parties and Subsidiary Bodies, Compile and Transmit Reports from Parties, Provide Technical and Financial Assistance to Parties, Prepare and Present Activity Reports to the Conference of the Parties, Coordinate with Relevant International Organizations, Handle Administrative and Contractual Arrangements, Execute Other Secretariat Roles and Tasks Assigned by the Conference of the Parties.","Environmental Protection and Sustainable Development, International Cooperation and Coordination"
ISA,"Organize and Control Activities in the Area, Establish Policies in Conformity with the Convention, Adopt and Apply Rules, Regulations and Procedures for Prospecting Exploration and Exploitation, Supervise and Coordinate Implementation of Provisions, Exercise Control over Activities in the Area, Ensure Equitable Sharing of Financial and Economic Benefits for Developing States.","Ocean and Marine Science, International Law and Sustainable Marine Resource Management"
UNEP,"Provide Policy Guidance for Environmental Programmes, Review World Environmental Situation, Promote International Cooperation on Environmental Issues, Assist Developing Countries with Environmental Programmes, Initiate and Coordinate Environmental Research and Technological Development, Raise Public Awareness on Environmental Issues, Facilitate Exchange of Information and Experience, Provide Advisory Services and Technical Assistance to Governments.","Environmental Protection and Sustainable Development, International Cooperation and Coordination"
UNDP,"Eradicate Poverty and Reduce Inequalities, Support Achievement of Sustainable Development Goals (SDGs), Promote UN Development System Coordination, Report on Human Development and Provide Policy Recommendations, Advocate for Development through Partnerships and Goodwill Ambassadors.","Humanitarian Affairs and Social Justice, International Cooperation and Coordination"
UNCTAD,"Promote International Trade for Economic Development, Formulate Policies on International Trade and Economic Development, Propose Implementation Strategies, Review and Coordinate UN System Activities in Trade and Development, Initiate Actions for Multilateral Trade Legal Instruments, Harmonize Trade and Development Policies, Address Relevant Matters, Evaluate and Recommend Institutional Improvements, Serve as Principal UN Body in Trade and Development.","Economic and Trade Development, International Cooperation and Coordination"
UNIDO,"Promote and Accelerate Industrial Development in Developing Countries, Assist in Establishing a New International Economic Order, Promote Global, Regional, National and Sectoral Cooperation, Encourage and Assist Industrialization Efforts, Coordinate UN System Activities in Industrial Development, Create New Concepts and Approaches for Industrial Development, Provide a Forum for International Cooperation and Dialogue, Serve as a Clearing-House for Industrial Information, Promote Development and Transfer of Industrial Technology, Organize and Support Industrial Training Programs, Assist in Exploiting and Conserving Natural Resources, Develop Special Measures for Least-Developed Countries, Assist in Securing External Financing for Industrial Projects.","Industrial and Technological Development, Economic and Trade Development"
