Institution,Subject Matter Jurisdiction,Category
IOC,"Sustainable Development, Ocean Science, Observation, Research, Technology transfer, Climate Change, Advocacy, Sustainability, International Cooperation","Sustainable Development & Capacity Building, Research, Science & Innovation, Environmental Protection & Climate Change"
FAO,"Sustainable Development, Nutrition, Fisheries, Forestry, Food Security","Sustainable Development & Capacity Building, Biodiversity & Ecosystem Conservation"
IMO Secretariat,"Maritime Safety, Maritime Security, Maritime Regulations, Environmental Protection, Innovation, Sustainability","International Cooperation & Governance, Environmental Protection & Climate Change"
UN DOALOS,"Ocean Affairs, Law, Research, Environmental protection, Sustainability","International Cooperation & Governance, Environmental Protection & Climate Change"
UNFCCC,"Climate Change, Research, Science, Environmental Protection, International Cooperation, International Coordination, Technical Assistance","Environmental Protection & Climate Change, Research, Science & Innovation"
ISA,"Ocean Research, Regulation, Science, Ocean Exploration, Ocean Exploitation, Environmental Protection, Regulation, International Cooperation","Sustainable Development & Capacity Building, International Cooperation & Governance, Environmental Protection & Climate Change"
UNEP,"Sustainable Development, International Coordination, Climate Change, Pollution, Biodiversity, Environmental Protection, Science, Research, Sustainability","Environmental Protection & Climate Change, Sustainable Development & Capacity Building, Research, Science & Innovation"
UNDP,"Sustainable Development, Governance, Climate Change, Poverty reduction","Sustainable Development & Capacity Building, International Cooperation & Governance"
UNCTAD,"Trade, Development, Research, Investment, Technology transfer, Sustainability","Trade, Investment & Economic Cooperation"
UNIDO,"Sustainable Development, Industrial Development, Innovation, Technology transfer, Sustainability, International Cooperation","Sustainable Development & Capacity Building, International Cooperation & Governance"
ILO,"Social Justice, Regulation, Human Rights, Labour Rights, International Cooperation","Human Rights, Social Justice & Advocacy, International Cooperation & Governance"
ITU,"Connectivity, Communications, Standards, Access",International Cooperation & Governance
UNICEF,"Child Rights, Health, Education, Research, Innovation, Sustainable Development","Human Rights, Social Justice & Advocacy, Sustainable Development & Capacity Building"
WHO,"Global Health, Research, Science, Health Systems, Emergency Response, Environmental Protection","Research, Science & Innovation, Environmental Protection & Climate Change"
OHCHR,"Human Rights, Discrimination, Freedom, Advocacy, Climate Change","Human Rights, Social Justice & Advocacy"
UNDRR,"Disaster Risk Reduction, Resilience, Preparedness, Partnership, Climate Change, Environmental Protection","Disaster Risk Reduction & Resilience, Environmental Protection & Climate Change"
UN Global Compact,"Sustainability, Social Responsibility, Climate change, Environment, Business, Sustainable Development",Sustainable Development & Capacity Building
IAEA,"Nuclear Energy, Safety & Security, International Cooperation, Development, Science, Research, Environmental Protection","Research, Science & Innovation, Environmental Protection & Climate Change, International Cooperation & Governance"
