Institution,Cleaned Practical Vertical Coordination,Summarized Vertical Coordination,Themes
Intergovernmental Oceanographic Commission (IOC),"The IOC collaborates with UN specialized agencies and international organizations in marine sciences, acting as a joint mechanism to foster cooperation and align programs. It supports its mission through relationships with UNESCO (as a specialized agency under Articles 1-10 of its statutes), WMO (for oceanographic and atmospheric research), UNEP (for marine environmental issues), FAO, IAEA, and WHO (via an MOU on ciguatera poisoning), partnering with IMO, FAO, WMO, IAEA, and UNEP in GESAMP, contributing to GOOS for ocean observation, and engaging NGOs and the private sector (e.g., International Monohull Open Class Association, World Ocean Council, Fugro).","The IOC coordinates with UN agencies (UNESCO, WMO, UNEP, FAO, IAEA, WHO), IMO, and private sector partners through joint mechanisms like GESAMP and GOOS to advance marine science research and ocean observation.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
Food and Agriculture Organization of the United Nations (FAO),"The FAO maintains relations with the UN as a specialized agency (Article XII), other international, regional, and national organizations related to food and agriculture (Article XIII), and may establish institutions with Member States (Article XV). It partners with Member States, civil society, the private sector, academia, and research centers to combat food insecurity and malnutrition, collaborating with international organizations for food security and rural development via its Strategy for Private Sector Engagement and South-South Cooperation facilitated by its Partnerships and UN Collaboration Division.","The FAO collaborates with the UN, Member States, and non-state actors via its Partnerships Division and South-South Cooperation to promote food security and sustainable agriculture under its constitutional framework.",Multi-Level Governance Structures;Collaboration with External Entities;Regional and Local Implementation;Technical and Capacity-Building Support
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,"The IMO collaborates with 66 intergovernmental organizations (Articles 25 and 66 of its Convention) and the UN (Part XV, Article 59), engaging NGOs for expert advice under its Rules and Guidelines for Consultative Status. It supports the UN Decade of Ocean Science, collaborates with IOC on ocean ecosystem research (e.g., GOOD, GESAMP Working Group 45 on climate change), and partners with GEF and UNDP in the GloFouling Partnership to protect marine biodiversity.","The IMO coordinates with 66 intergovernmental organizations, the UN, IOC, GEF, and UNDP through its Convention and consultative frameworks to enhance maritime governance and environmental protection.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),"DOALOS collaborates with ISA (UNCLOS Annex III Article 4, 1994 Agreement Article 177 since 1996), ITLOS for administrative support (Tribunal Statute Article 5, 1994 Agreement Article 178), and CLCS with technical assistance (UNCLOS Annex II). It services the ICP on Oceans and the Law of the Sea, facilitates the Regular Process for Global Reporting with a Group of Experts and Working Group, and provides capacity-building assistance to developing countries through training and fellowships.","DOALOS coordinates with ISA, ITLOS, and CLCS under UNCLOS frameworks, servicing ICP and the Regular Process while supporting developing countries in ocean governance.",Multi-Level Governance Structures;Collaboration with External Entities;Regional and Local Implementation;Technical and Capacity-Building Support
Climate Change Secretariat (UNFCCC Secretariat),"The UNFCCC Secretariat collaborates with UN agencies and international organizations to advance climate action and sustainable development, including UNDP for implementing NDCs under the Paris Agreement, UNESCO for climate education and research, and WHO and WMO for health risks and climate data. It aligns with UNCCD and CBD as Rio Conventions through initiatives like land degradation neutrality, supported by a 2023 MOU and the JLG for synergy.","The UNFCCC Secretariat coordinates with UN agencies (UNDP, UNESCO, WHO, WMO) and Rio Conventions via the JLG and Paris Agreement to drive climate action and sustainable development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support;Strategic Leadership and Oversight
International Seabed Authority (ISA),"The ISA cooperates with the UN as an observer (UNCLOS Article 156, 1994 Agreement Article 169), ITLOS for dispute settlement (UNCLOS Article 187, 1994 Agreement Article 178), and UN agencies (FAO, UNEP, IOC) and organizations (IMO, IHO, RFMOs) on shared interests. It participates in ICP and contributes to the Regular Process with seabed environmental data.","The ISA collaborates with the UN, ITLOS, and UN agencies through UNCLOS frameworks to manage seabed activities and environmental reporting.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Environment Programme (UNEP),"UNEP engages 193 Member States through UNEA (Resolution 67/251) and collaborates with the UN (Resolution 2997 XXVII), supporting MEAs and regional seas conventions. It partners with FAO, IMO, IOC, ISA, ITLOS, RFMOs, and contributes marine data to the Regular Process.",UNEP coordinates with Member States and UN agencies via UNEA and MEAs to address environmental governance and marine conditions.,Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Development Programme (UNDP),"UNDP collaborates with governments via UNDAF and CPDs, coordinates with the UN Sustainable Development Group, and partners with IFIs (World Bank, AfDB, ADB, IADB) and UN entities (UNEP, UN-Habitat, UNODC, UN Women). It engages the private sector and civil society through platforms like SDG Philanthropy and Business Call to Action to support the 2030 Agenda.","UNDP coordinates with governments, UN entities, and IFIs through UNDAF and the Sustainable Development Group to advance sustainable development.",Multi-Level Governance Structures;Collaboration with External Entities;Regional and Local Implementation;Technical and Capacity-Building Support
United Nations Conference on Trade and Development (UNCTAD),"UNCTAD engages 195 Member States through its conference (Resolution 1995 XIX) and leads the UN Inter-Agency Cluster on Trade with 15 UN agencies. It cooperates with WTO, OECD, World Bank, ILO, CITES, UNDP, UNIDO, IMF, and supports SDGs with research and technical assistance.",UNCTAD coordinates with Member States and UN agencies via its conference and Trade Cluster to promote trade and development.,Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Industrial Development Organization (UNIDO),"UNIDO collaborates with 170 Member States through its General Conference, Industrial Development Board, and Programme and Budget Committee (Constitution Chapter III), partnering with the UN (1985 Agreement), FAO, IAEA, ILO, UNCTAD, UNDP, UNEP, UNESCO, UNFCCC, WHO, IFIs (AfDB, EIB, World Bank), and organizations (AU, EU, OAS, OIC). It engages the private sector for sustainable industrialization.",UNIDO coordinates with Member States and UN entities via its governance bodies to foster sustainable industrial development.,Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
International Labour Organization (ILO),"The ILO collaborates with governments, employers, and workers through its Conference, Governing Body, and Regional Meetings (1946 UN Agreement), partnering with UN agencies (ECOSOC, UNDP, UNEP, UNIDO, UNITAR), World Bank, IMF, OECD, AU, EU, OAS. It contributes marine sector data to the Regular Process.",The ILO coordinates with its tripartite constituents and UN agencies through its governance structures to address labor and social issues.,Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
International Telecommunication Union (ITU),"The ITU engages 193 Member States and 900+ Sector Members through its Plenipotentiary Conference (1947 UN Agreement), supporting WSIS and the 2030 Agenda with UNESCO, WHO, WMO, WTO, OECD, ICANN. It collaborates with WMO and UNESCO-IOC on a Joint Task Force for climate monitoring.",The ITU coordinates with Member States and UN agencies via its Conference to advance ICTs and sustainable development.,Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Children’s Fund (UNICEF),"UNICEF collaborates with 193 Member States through its Executive Board (Resolution 57 I), supporting the CRC with WHO, UNESCO, UNHCR, WFP, UNDP, World Bank, GPE, Global Fund, and Gavi. It aligns its Strategic Plan 2022-2025 with the SDGs.",UNICEF coordinates with Member States and UN partners through its Executive Board to promote children’s rights and the SDGs.,Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
