Institutions,Horizontal,Cleaned Practical Horizontal Coordination,Summarized Practical Horizontal Coordination,Horizontal Themes
Intergovernmental Oceanographic Commission (IOC),"Horizontal coordination within the IOC encompasses collaboration across various sectors and stakeholders, including governments, scientific communities, and international institutions, to ensure ocean policies are integrated and aligned with broader governmental objectives (https://unesdoc.unesco.org/ark:/48223/pf0000381388.locale=en). This approach is underpinned by the IOC's mandate to promote international cooperation and coordinate research and capacity-building programs for ocean and coastal areas, as outlined in the IOC Medium-Term Strategy 2022–2029 (https://unesdoc.unesco.org/ark:/48223/pf0000381388.locale=en). For instance, the IOC works with environmental sectors to address climate change impacts on marine ecosystems (https://www.ioc.unesco.org/en/blue-carbon#:~:text=IOC%20is%20engaged%20at%20the,marshes)%20for%20addressing%20climate%20change.), with disaster management agencies to enhance tsunami readiness (https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0006), and with data management entities to improve ocean data sharing and information management (https://www.ioc.unesco.org/en/articles/oceanx-partners-intergovernmental-oceanographic-commission-unesco-implement-ocean-decade-goals). Forms of horizontal coordination within the IOC include:
1. Joint planning and execution of initiatives, such as the Tsunami Ready programme (https://unesdoc.unesco.org/ark:/48223/pf0000385113.),
2. Participation in intergovernmental committees and global partnerships, like those fostering the UN Decade of Ocean Science for Sustainable Development (https://unesdoc.unesco.org/ark:/48223/pf0000385113.),
3. Development and dissemination of guidelines and frameworks for ocean policy engagement, exemplified by the IOC Strategic Plan for Ocean Data and Information Management (https://unesdoc.unesco.org/ark:/48223/pf0000385113),
4. Advocacy and communication efforts to promote ocean science and sustainability, as seen in the State of ocean  report (https://www.ioc.unesco.org/en/state-ocean-report#:~:text=The%20State%20of%20the%20Ocean%20Report%20is%20the%20first%20such,ocean%20protection%20and%20sustainable%20planning.), and  Advocacy campaigns like World Ocean Day (https://www.unesco.org/en/days/oceans)","Horizontal coordination within the IOC encompasses collaboration with sectors and stakeholders, including governments, science sector, and international institutions, to ensure ocean policies are integrated and aligned with broader governmental objectives ( This approach is underpinned by the IOC's mandate to promote international cooperation and coordinate research and capacity-building programs for ocean and coastal areas, as outlined in the IOC Medium-Term Strategy 2022–2029 ( For instance, the IOC works with environmental sectors to address climate change impacts on marine ecosystems (#:~:text=IOC%20is%20engaged%20at%20the,marshes)%20for%20addressing%20climate%20change.), with disaster management agencies to enhance tsunami readiness ( and with data management entities to improve ocean data sharing and information management ( Forms of horizontal coordination within the IOC include:
1. Joint planning and execution of initiatives, such as the Tsunami Ready programme (
2. Participation in intergovernmental committees and global partnerships, like those fostering the UN Decade of Ocean Science for Sustainable Development (
3. Development and dissemination of guidelines and frameworks for ocean policy engagement, exemplified by the IOC Strategic Plan for Ocean Data and Information Management (
4. Advocacy and communication efforts to promote ocean science and sustainability, as seen in the State of ocean  report (#:~:text=The%20State%20of%20the%20Ocean%20Report%20is%20the%20first%20such,ocean%20protection%20and%20sustainable%20planning.), and  Advocacy campaigns like World Ocean Day (","Collaborates with sectors like governments, science via joint initiatives using guidelines for policy coherence","Cross-Sectoral Collaboration, Policy Integration Mechanisms, Advocacy and Knowledge Sharing, Joint Program Implementation"
Food and Agriculture Organization of the United Nations (FAO),"Horizontal coordination within the FAO involves collaboration with different sectors and stakeholders within the food and agriculture domain, such as governments, civil society, private sector, scientific community, and other UN agencies to ensure that food security and nutrition are considered in all policies and that agricultural policies are aligned with other sectoral policies (https://www.fao.org/partnerships/en/). This coordination is guided by Article 1 of the Constitution of the Food and Agriculture Organization (https://www.fao.org/3/k8024e/k8024e.pdf). For example, FAO works with the environmental sector to address climate change impacts on food security (https://www.fao.org/3/i5188e/I5188E.pdf), or with the economic sector to enhance rural development and livelihoods (https://www.fao.org/agrifood-economics/areas-of-work/en/), and with the ocean sector  to enhance underwater food systems and ensure sustainable aquatic food production for the growing global population (https://news.un.org/en/story/2022/06/1121602). Horizontal coordination within FAO can take various forms, such as: (1) Joint planning and implementation of programmes and projects with other sectors and stakeholders, such as the Global Action Programme on Food Security and Nutrition in Small Island States (https://www.fao.org/3/i7297e/i7297e.pdf), (2) Participation in interagency and multisectoral committees, such as the Committee on World Food Security (https://www.fao.org/sustainable-development-goals-helpdesk/champion/article-detail/committee-on-world-food-security/en), (3) Development and dissemination of guidelines, such as the Voluntary Guidelines on Food Systems and Nutrition (https://www.fao.org/cfs/vgfsn/en/),
(4) Advocacy campaigns like World Food Day (https://www.fao.org/newsroom/detail/world-food-day--global-ceremony-highlights-water-s-role-against-troubled-backdrop/en) or The State of Food Security and Nutrition in the World report (https://www.fao.org/publications/home/fao-flagship-publications/the-state-of-food-security-and-nutrition-in-the-world/en). The FAO provides leadership on global food security, shapes the agricultural research agenda, sets standards, offers evidence-based policy options, provides technical support, and monitors food and nutrition trends (https://www.fao.org/3/cb7099en/cb7099en.pdf). It facilitates the participation of diverse actors in the agricultural sector and enhances cooperation within the UN system on food and agriculture matters (https://www.fao.org/partnerships/en/)","Horizontal coordination within the FAO involves collaboration with different sectors and stakeholders within the food and agriculture domain, such as governments, civil society, private sector, scientific community, and other UN agencies to ensure that food security and nutrition are considered in all policies and that agricultural policies are aligned with other sectoral policies ( This coordination is guided by Article 1 of the Constitution of the Food and Agriculture Organization ( For example, FAO works with the environmental sector to address climate change impacts on food security ( or with the economic sector to enhance rural development and livelihoods ( and with the ocean sector  to enhance underwater food systems and ensure sustainable aquatic food production for the growing global population ( Horizontal coordination within FAO can take various forms, such as: (1) Joint planning and implementation of programmes and projects with other sectors and stakeholders, such as the Global Action Programme on Food Security and Nutrition in Small Island States ( (2) Participation in interagency and multisectoral committees, such as the Committee on World Food Security ( (3) Development and dissemination of guidelines, such as the Voluntary Guidelines on Food Systems and Nutrition (
(4) Advocacy campaigns like World Food Day ( or The State of Food Security and Nutrition in the World report ( The FAO provides leadership on global food security, shapes the agricultural research agenda, sets standards, offers evidence-based policy options, provides technical support, and monitors food and nutrition trends ( It facilitates the participation of diverse actors in the agricultural sector and enhances cooperation within the UN system on food and agriculture matters (","Collaborates with sectors like governments, private sector, civil society via joint initiatives using guidelines for policy coherence","Cross-Sectoral Collaboration, Policy Integration Mechanisms, Advocacy and Knowledge Sharing, Joint Program Implementation"
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,"Horizontal coordination within the IMO involves collaboration with different sectors and stakeholders within the maritime domain, such as governments, the shipping industry, port authorities, maritime training institutions, and other UN agencies to ensure that maritime safety, security, and environmental protection are integrated into all policies (https://www.un.org/en/chronicle/article/role-international-maritime-organization-preventing-pollution-worlds-oceans-ships-and-shipping). This coordination is guided by Articles 25 and 66 of the Convention on the International Maritime Organization (https://treaties.un.org/doc/Publication/UNTS/Volume%201276/volume-1276-I-4214-English.pdf). For example, the IMO works with the education sector to promote maritime training and capacity building through institutions like the World Maritime University (WMU) and the International Maritime Law Institute (IMLI) (https://www.imo.org/en/About/Pages/WMUandIMLI.aspx), with the environmental sector to address issues like biofouling and greenhouse gas emissions through initiatives like the GloFouling Partnerships project (https://www.imo.org/en/OurWork/PartnershipsProjects/Pages/GloFouling-Project.aspx), or with the development sector to enhance maritime capabilities in regions like Africa, Asia, and the Caribbean through its Integrated Technical Cooperation Programme (https://www.imo.org/en/OurWork/TechnicalCooperation/Pages/ITCP.aspx). Horizontal coordination within the IMO can take various forms, such as: (1) Joint planning and implementation of programmes and projects with other sectors and stakeholders, such as the Global SAR Plan (https://www.imo.org/en/OurWork/Safety/Pages/GlobalSARPlan.aspx), (2) Participation in interagency and multisectoral committees, networks, and platforms, such as the Global Integrated Shipping Information System (https://gisis.imo.org/Public/Default.aspx), (3) Development and dissemination of guidelines, standards, and tools for maritime sector engagement with other sectors and stakeholders, such as the International Ship and Port Facility Security (ISPS) COde (https://www.imo.org/en/OurWork/Security/Pages/SOLAS-XI-2%20ISPS%20Code.aspx) , (4) Advocacy and communication to raise awareness and mobilise support for maritime issues and policies among other sectors and stakeholders, such as the Day of the Seafarer (https://www.imo.org/en/About/Events/Pages/Day-of-the-Seafarer-2024.aspx). The IMO provides leadership and direction on matters critical to maritime safety and security, shapes the maritime research agenda, sets norms and standards, articulates evidence-based policy options, provides technical support to countries, and monitors and assesses maritime trends (https://www.imo.org/en/OurWork/TechnicalCooperation/Pages/Geo-Coverage.aspx). The IMO facilitates the participation of various actors in the maritime sector and enhances cooperation and coordination within the UN system on maritime matters (https://www.imo.org/en/OurWork/TechnicalCooperation/Pages/Geo-Coverage.aspx)","Horizontal coordination within the IMO involves collaboration with different sectors and stakeholders within the maritime domain, such as governments, the shipping industry, port authorities, maritime training institutions, and other UN agencies to ensure that maritime safety, security, and environmental protection are integrated into all policies ( This coordination is guided by Articles 25 and 66 of the Convention on the International Maritime Organization ( For example, the IMO works with the education sector to promote maritime training and capacity building through institutions like the World Maritime University (WMU) and the International Maritime Law Institute (IMLI) ( with the environmental sector to address issues like biofouling and greenhouse gas emissions through initiatives like the GloFouling Partnerships project ( or with the development sector to enhance maritime capabilities in regions like Africa, Asia, and the Caribbean through its Integrated Technical Cooperation Programme ( Horizontal coordination within the IMO can take various forms, such as: (1) Joint planning and implementation of programmes and projects with other sectors and stakeholders, such as the Global SAR Plan ( (2) Participation in interagency and multisectoral committees, networks, and platforms, such as the Global Integrated Shipping Information System ( (3) Development and dissemination of guidelines, standards, and tools for maritime sector engagement with other sectors and stakeholders, such as the International Ship and Port Facility Security (ISPS) COde ( , (4) Advocacy and communication to raise awareness and mobilise support for maritime issues and policies among other sectors and stakeholders, such as the Day of the Seafarer ( The IMO provides leadership and direction on matters critical to maritime safety and security, shapes the maritime research agenda, sets norms and standards, articulates evidence-based policy options, provides technical support to countries, and monitors and assesses maritime trends ( The IMO facilitates the participation of various actors in the maritime sector and enhances cooperation and coordination within the UN system on maritime matters (",Collaborates with sectors like governments via joint initiatives using guidelines for policy coherence,"Cross-Sectoral Collaboration, Policy Integration Mechanisms, Advocacy and Knowledge Sharing, Joint Program Implementation"
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),"Horizontal coordination within DOALOS involves collaboration with different sectors and stakeholders within the ocean domain, such as fisheries, environment, security, trade, science, private sector, civil society, and other UN agencies to ensure that ocean affairs and the law of the sea are integrated into all policies (https://www.un.org/ola/en/content/div-doalos). This is structured under the section 9.5 of the document, which outlines the inter-agency cooperation and coordination of the Division (https://digitallibrary.un.org/record/798635/files/ST_SGB_2015_3-EN.pdf?ln=en).  This coordination is guided by the mandate of DOALOS to promote the uniform and consistent application of the United Nations Convention on the Law of the Sea (UNCLOS) and related agreements (https://www.un.org/ola/en/content/div-doalos). The DOALOS participates in the inter-agency mechanism UN-Oceans, which seeks to enhance the coordination, coherence and effectiveness of competent organizations of the United Nations system and the International Seabed Authority on ocean issues (https://www.un.org/depts/los/coop_coor/un_oceans.htm). The DOALOS also liaises with other specialized agencies, regional and sub-regional organizations, non-governmental organizations, and academic institutions on matters related to ocean affairs and the law of the sea (https://www.un.org/oceancapacity/). DOALOS conducts consultations with regional intergovernmental organizations and others in Africa, Asia-Pacific, and Latin America/Caribben to gain insight in ongoing regional programmes and activities on ocean governance and to identify capacity-building needs and priorities in the region (https://www.un.org/oceancapacity/consultations).  The DOALOS facilitates the exchange of information and best practices among governments and other interested parties on issues under its consideration. For example, DOALOS works with the scientific community to support marine scientific research and with environmental sectors to address marine biodiversity conservation (https://www.un.org/depts/los/general_assembly/general_assembly.htm). Horizontal coordination within DOALOS can take various forms, such as: (1) Joint planning and implementation of programmes and projects with other sectors and stakeholders (https://www.un.org/depts/los/biodiversity/prepcom.htm), (2) Participation in interagency and multisectoral committees, networks, and platforms, such as UN-Oceans, the inter-agency coordination mechanism on ocean and coastal issues (https://www.un.org/depts/los/consultative_process/consultative_process.htm), (3) Development and dissemination of guidelines, standards, and tools for engagement with other sectors and stakeholders (https://www.un.org/depts/los/), (4) Advocacy and communication to raise awareness and mobilise support for ocean issues and policies among other sectors and stakeholders (https://sustainabledevelopment.un.org/content/documents/5214236EGM%20Report%20on%20Oceans.pdf). DOALOS provides leadership and direction on matters critical to oceans and the law of the sea, shapes the ocean governance research agenda, sets norms and standards, articulates evidence-based policy options, provides technical support to countries, and monitors and assesses trends related to oceans and maritime affairs (https://www.un.org/ola/en/content/div-doalos). DOALOS facilitates the participation of various actors in the ocean sector and enhances cooperation and coordination within the UN system on ocean matters (https://www.un.org/ola/en/content/div-doalos).","Horizontal coordination within DOALOS involves collaboration with different sectors and stakeholders within the ocean domain, such as fisheries, environment, security, trade, science, private sector, civil society, and other UN agencies to ensure that ocean affairs and the law of the sea are integrated into all policies ( This is structured under the section 9.5 of the document, which outlines the inter-agency cooperation and coordination of the Division (  This coordination is guided by the mandate of DOALOS to promote the uniform and consistent application of the UN Convention on the Law of the Sea (UNCLOS) and related agreements ( The DOALOS participates in the inter-agency mechanism UN-Oceans, which seeks to enhance the coordination, coherence and effectiveness of competent organizations of the UN system and the International Seabed Authority on ocean issues ( The DOALOS also liaises with other specialized agencies, regional and sub-regional organizations, non-governmental organizations, and academic institutions on matters related to ocean affairs and the law of the sea ( DOALOS conducts consultations with regional intergovernmental organizations and others in Africa, Asia-Pacific, and Latin America/Caribben to gain insight in ongoing regional programmes and activities on ocean governance and to identify capacity-building needs and priorities in the region (  The DOALOS facilitates the exchange of information and best practices among governments and other interested parties on issues under its consideration. For example, DOALOS works with the scientific community to support marine scientific research and with environmental sectors to address marine biodiversity conservation ( Horizontal coordination within DOALOS can take various forms, such as: (1) Joint planning and implementation of programmes and projects with other sectors and stakeholders ( (2) Participation in interagency and multisectoral committees, networks, and platforms, such as UN-Oceans, the inter-agency coordination mechanism on ocean and coastal issues ( (3) Development and dissemination of guidelines, standards, and tools for engagement with other sectors and stakeholders ( (4) Advocacy and communication to raise awareness and mobilise support for ocean issues and policies among other sectors and stakeholders ( DOALOS provides leadership and direction on matters critical to oceans and the law of the sea, shapes the ocean governance research agenda, sets norms and standards, articulates evidence-based policy options, provides technical support to countries, and monitors and assesses trends related to oceans and maritime affairs ( DOALOS facilitates the participation of various actors in the ocean sector and enhances cooperation and coordination within the UN system on ocean matters (","Collaborates with sectors like governments, science, private sector, civil society via joint initiatives using guidelines for policy coherence","Cross-Sectoral Collaboration, Policy Integration Mechanisms, Advocacy and Knowledge Sharing, Joint Program Implementation"
Climate Change Secretariat,"Horizontal coordination within the UNFCCC involves collaboration across various sectors and stakeholders in the climate change arena, including governments, institutions, civil society, the private sector, and the scientific community. This coordination is structured under the Institutional and Financial Arrangements section of the Convention, specifically outlined in Articles 7-11 (https://unfccc.int/resource/docs/convkp/conveng.pdf). The UNFCCC has established the Conference of the Parties (COP) as its supreme decision-making body, which adopts decisions and protocols for implementing the Convention's objectives and principles. It also has set up two subsidiary bodies: the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI), to support the COP (https://unfccc.int/resource/docs/convkp/conveng.pdf). Furthermore, the UNFCCC defines a financial mechanism to aid developing countries and a mechanism for resolving questions about Convention implementation (https://unfccc.int/resource/docs/convkp/conveng.pdf). It also collaborates with the IPCC to ensure scientific coherence, with the GEF (https://ccsr.aori.u-tokyo.ac.jp/old/unfccc4/pdfs/unfccc.int/resource/docs/cop2/15a01.pdf) and GCF (https://www.ciesin.columbia.edu/repository/entri/docs/cop/FCCC_COP17_dec03.pdf) for financial resources and with the Technology Mechanism for climate technology development and transfer, as detailed in various decisions decision 1/CP.16 (https://unfccc.int/resource/docs/2010/cop16/eng/07a01.pdf). This structure facilitates information exchange and communication on actions addressing climate change and its impacts.




","Horizontal coordination within the UNFCCC involves collaboration with sectors and stakeholders in the climate change arena, including governments, institutions, civil society, the private sector, and the scientific community. This coordination is structured under the Institutional and Financial Arrangements section of the Convention, specifically outlined in Articles 7-11 ( The UNFCCC has established the Conference of the Parties (COP) as its supreme decision-making body, which adopts decisions and protocols for implementing the Convention's objectives and principles. It also has set up two subsidiary bodies: the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI), to support the COP ( Furthermore, the UNFCCC defines a financial mechanism to aid developing countries and a mechanism for resolving questions about Convention implementation ( It also collaborates with the IPCC to ensure scientific coherence, with the GEF ( and GCF ( for financial resources and with the Technology Mechanism for climate technology development and transfer, as detailed in various decisions decision 1/CP.16 ( This structure facilitates information exchange and communication on actions addressing climate change and its impacts.","Collaborates with sectors like governments, private sector, civil society",Cross-Sectoral Collaboration
International Seabed Authority,"Horizontal coordination within the ISA involves collaboration among different sectors and stakeholders involved in the exploration and exploitation of the seabed and ocean floor beyond national jurisdiction, such as States Parties, contractors, the Enterprise, the United Nations and its specialised agencies, and other international and non-governmental organizations. This coordination is structured under the General Principles section of Part XI of the UNCLOS, specifically in Articles 156-185 (https://www.un.org/Depts/los/convention_agreements/texts/unclos/part11.htm). The ISA has established three principal organs: the Assembly, the Council, and the Secretariat, as well as two subsidiary organs: the Economic Planning Commission and the Legal and Technical Commission, to carry out its functions and responsibilities under the Convention (https://www.isa.org.jm/wp-content/uploads/2022/06/struct-funct.pdf). The ISA also has an organ for carrying out activities in the Area directly: the Enterprise, and all States Parties are ipso facto members of the Authority (https://www.un.org/depts/los/convention_agreements/texts/unclos/part11-4.htm). The ISA adopts and applies rules, regulations  and procedures for the management of activities in the Area, taking into account the protection of the marine environment, the equitable sharing of benefits, and the promotion of international cooperation ((https://www.isa.org.jm/wp-content/uploads/2022/06/isba_25_c_wp1-e_0.pdf)). The ISA also establishes a system of compensation or other measures of economic adjustment assistance for developing States that may be adversely affected by activities in the Area according to article 160 (10), Part XI of UNCLOS (https://www.un.org/depts/los/convention_agreements/texts/unclos/part11-4.htm). The ISA cooperates with other relevant international organizations and facilitates the exchange of scientific and technical information on activities in the Area (https://www.isa.org.jm/wp-content/uploads/2022/06/struct-funct.pdf).","Horizontal coordination within the ISA involves collaboration among different sectors and stakeholders involved in the exploration and exploitation of the seabed and ocean floor beyond national jurisdiction, such as States Parties, contractors, the Enterprise, the UN and its specialised agencies, and other international and non-governmental organizations. This coordination is structured under the General Principles section of Part XI of the UNCLOS, specifically in Articles 156-185 ( The ISA has established three principal organs: the Assembly, the Council, and the Secretariat, as well as two subsidiary organs: the Economic Planning Commission and the Legal and Technical Commission, to carry out its functions and responsibilities under the Convention ( The ISA also has an organ for carrying out activities in the Area directly: the Enterprise, and all States Parties are ipso facto members of the Authority ( The ISA adopts and applies rules, regulations  and procedures for the management of activities in the Area, taking into account the protection of the marine environment, the equitable sharing of benefits, and the promotion of international cooperation (( The ISA also establishes a system of compensation or other measures of economic adjustment assistance for developing States that may be adversely affected by activities in the Area according to article 160 (10), Part XI of UNCLOS ( The ISA cooperates with other relevant international organizations and facilitates the exchange of scientific and technical information on activities in the Area (",Collaborates with sectors like,
United Nations Environment Programme (UNEP),"Horizontal coordination within UNEP involves collaboration with different sectors and stakeholders within the environmental domain, such as governments, civil society, private sector, scientific community, and other UN agencies. This coordination is structured under  paragraph 3 of resolution 2997 (XXVII) of the General Assembly (https://documents-dds-ny.un.org/doc/RESOLUTION/GEN/NR0/270/27/IMG/NR027027.pdf?OpenElement) (https://www.unep.org/resources/report/functions-un-environment-programme). The UNEP provides leadership and encourages partnership in caring for the environment by inspiring, informing, and enabling nations and peoples to improve their quality of life without compromising that of future generations (https://www.unep.org/news-and-stories/press-release/buildings-breakthrough-global-push-near-zero-emission-and-resilient). The UNEP also monitors, assesses and reports on the state of the global environment, develops international environmental agreements and norms, supports the implementation of environmental policies and laws, and promotes the integration of environmental considerations into social and economic development1. The UNEP facilitates the participation of major groups and stakeholders in its work, and enhances cooperation and coordination within the UN system on environmental matters (https://www.unenvironment.org/about-un-environment/who-we-are/our-mission). 
","Horizontal coordination within UNEP involves collaboration with different sectors and stakeholders within the environmental domain, such as governments, civil society, private sector, scientific community, and other UN agencies. This coordination is structured under  paragraph 3 of resolution 2997 (XXVII) of the General Assembly ( ( The UNEP provides leadership and encourages partnership in caring for the environment by inspiring, informing, and enabling nations and peoples to improve their quality of life without compromising that of future generations ( The UNEP also monitors, assesses and reports on the state of the global environment, develops international environmental agreements and norms, supports the implementation of environmental policies and laws, and promotes the integration of environmental considerations into social and economic development1. The UNEP facilitates the participation of major groups and stakeholders in its work, and enhances cooperation and coordination within the UN system on environmental matters (","Collaborates with sectors like governments, private sector, civil society","Cross-Sectoral Collaboration, Advocacy and Knowledge Sharing"
United Nations Development Programme (UNDP),"Horizontal coordination within UNDP involves collaboration with different sectors and stakeholders within the development domain, such as governments, civil society, private sector, foundations, the academic community, and other UN agencies to ensure that sustainable development goals are achieved in all activities and policies. This coordination is guided by the UNDP Strategic Plan (2022 - 2025) (https://www.undp.org/sites/g/files/zskgke326/files/2021-09/UNDP-Strategic-Plan-2022-2025_1.pdf). For example, UNDP works with the governance sector to promote democratic institutions and human rights (https://www.undp.org/sites/g/files/zskgke326/files/2022-07/Renewed%20Governance%20and%20Peacebuilding%20Framework%20for%20Africa%202022-2025_Summarised%20Document_0.pdf), with the environment sector to address climate change and biodiversity loss (https://www.undp.org/nature/our-work-areas/biodiversity-conservation), with the crisis prevention and recovery sector to support peacebuilding and resilience (https://www.undp.org/tag/crisis-response), or with the poverty reduction and inclusive growth sector to reduce inequalities and enhance social protection (https://www.undp.org/tag/poverty-reduction-and-inequality). Horizontal coordination within UNDP can take various forms, such as: (1) Joint planning and implementation of programmes and projects with other sectors and stakeholders, such as the UNDP-UNEP Poverty-Environment Action for Sustainable Development Goals (https://www.undp.org/policy-centre/nairobi/poverty-environment-action-sdgs#:~:text=Poverty%2DEnvironment%20Action%20aims%20at,and%20private%20finance%20and%20investment.), the UNDP-UN Women Joint Programme on Electoral Assistance (https://www.undp.org/publications/preventing-violence-against-women-elections-programming-guide) or the UNDP-UNICEF-UNFPA Joint Programme on Local Governance and Decentralized Service Delivery (http://web.undp.org/evaluation/evaluations/documents/decentralization_final_Report.PDF), (2) Participation in interagency and multisectoral committees, networks, and platforms, such as the UN Sustainable Development Group (https://unsdg.un.org/about) or the Global Partnership for Effective Development Cooperation (http://effectivecooperation.org/), (3) Development and dissemination of guidelines, standards, and tools for development sector engagement with other sectors and stakeholders, such as the Human Development Report (http://hdr.undp.org/en) or the Socio-Economic Impact Assessment (https://www.undp.org/coronavirus/socio-economic-impact-covid-19), and (4) Advocacy and communication to raise awareness and mobilise support for development issues and policies among other sectors and stakeholders, such as the UNDP Goodwill Ambassadors and Advocates (https://www.undp.org/goodwill-ambassadors-and-advocates) or the UNDP Shop (https://shop.undp.org/).","Horizontal coordination within UNDP involves collaboration with different sectors and stakeholders within the development domain, such as governments, civil society, private sector, foundations, the academic community, and other UN agencies to ensure that sustainable development goals are achieved in all activities and policies. This coordination is guided by the UNDP Strategic Plan (2022 - 2025) ( For example, UNDP works with the governance sector to promote democratic institutions and human rights ( with the environment sector to address climate change and biodiversity loss ( with the crisis prevention and recovery sector to support peacebuilding and resilience ( or with the poverty reduction and inclusive growth sector to reduce inequalities and enhance social protection ( Horizontal coordination within UNDP can take various forms, such as: (1) Joint planning and implementation of programmes and projects with other sectors and stakeholders, such as the UNDP-UNEP Poverty-Environment Action for Sustainable Development Goals (#:~:text=Poverty%2DEnvironment%20Action%20aims%20at,and%20private%20finance%20and%20investment.), the UNDP-UN Women Joint Programme on Electoral Assistance ( or the UNDP-UNICEF-UNFPA Joint Programme on Local Governance and Decentralized Service Delivery ( (2) Participation in interagency and multisectoral committees, networks, and platforms, such as the UN Sustainable Development Group ( or the Global Partnership for Effective Development Cooperation ( (3) Development and dissemination of guidelines, standards, and tools for development sector engagement with other sectors and stakeholders, such as the Human Development Report ( or the Socio-Economic Impact Assessment ( and (4) Advocacy and communication to raise awareness and mobilise support for development issues and policies among other sectors and stakeholders, such as the UNDP Goodwill Ambassadors and Advocates ( or the UNDP Shop (","Collaborates with sectors like governments, private sector, civil society via joint initiatives using guidelines","Cross-Sectoral Collaboration, Policy Integration Mechanisms, Advocacy and Knowledge Sharing, Joint Program Implementation"
United Nations Conference on Trade and Development (UNCTAD),"Horizontal coordination within UNCTAD involves collaboration with different sectors and stakeholders within the trade and development domain, such as governments, international organizations, private sector, civil society, academia, and regional commissions (https://unctad.org/about/partnership). This coordination is structured under the Terms of Reference and Rules of Procedure of the United Nations Conference on Trade and Development (https://unctad.org/system/files/official-document/issmisc2019d2_en.pdf). The UNCTAD promotes the integration of developing countries into the world economy and supports their efforts to achieve inclusive and sustainable development (https://unctad.org/about). Also, UNCTAD conducts research and analysis, provides policy advice and technical assistance, and organizes intergovernmental deliberations and consensus-building on trade and development issues (https://unctad.org/system/files/official-document/tdsxxiiid3_en.pdf). In addition, UNCTAD fosters cooperation and dialogue among its member States and other stakeholders, and enhances the coherence and coordination of the UN system on trade and development matters (https://unctad.org/annualreport/2019/Pages/index.html).","Horizontal coordination within UNCTAD involves collaboration with different sectors and stakeholders within the trade and development domain, such as governments, international organizations, private sector, civil society, academia, and regional commissions ( This coordination is structured under the Terms of Reference and Rules of Procedure of the UN Conference on Trade and Development ( The UNCTAD promotes the integration of developing countries into the world economy and supports their efforts to achieve inclusive and sustainable development ( Also, UNCTAD conducts research and analysis, provides policy advice and technical assistance, and organizes intergovernmental deliberations and consensus-building on trade and development issues ( In addition, UNCTAD fosters cooperation and dialogue among its member States and other stakeholders, and enhances the coherence and coordination of the UN system on trade and development matters (","Collaborates with sectors like governments, private sector, civil society for policy coherence",Cross-Sectoral Collaboration
"United Nations Industrial Development Organization (UNIDO),","Horizontal coordination within UNIDO involves collaboration with different sectors and stakeholders within the industrial development domain, such as governments, private sector, civil society, academia, and other UN agencies. This coordination is structured under the Objectives and Functions section of the UNIDO Constitution, specifically in Articles 1-2 (https://www.unido.org/sites/default/files/files/2020-11/19-12162_UNIDO_Constitution_ebook.pdf). The UNIDO promotes and accelerates inclusive and sustainable industrial development in developing countries and economies in transition, with a view to assisting in the establishment of a new international economic order (https://sdgs.un.org/sites/default/files/publications/2021Introduction%20to%20UNIDO-%20Inclusive%20and%20Sustainable%20Industrial%20Development.pdf). The UNIDO also initiates, coordinates and follows up the activities of the UN system in the field of industrial development, and acts as a forum and instrument for industrial cooperation and partnership (https://sdgs.un.org/sites/default/files/publications/2021Introduction%20to%20UNIDO-%20Inclusive%20and%20Sustainable%20Industrial%20Development.pdf). The UNIDO provides technical assistance, policy advice, and capacity-building services to its Member States, and supports the development, transfer and adaptation of industrial technology. The UNIDO gives due regard to the specific needs and priorities of the least developed countries, as well as to the principle of equitable geographical distribution (https://www.unido.org/sites/default/files/files/2019-09/Upscaling%20TC_Sept%202019.pdf).
","Horizontal coordination within UNIDO involves collaboration with different sectors and stakeholders within the industrial development domain, such as governments, private sector, civil society, academia, and other UN agencies. This coordination is structured under the Objectives and Functions section of the UNIDO Constitution, specifically in Articles 1-2 ( The UNIDO promotes and accelerates inclusive and sustainable industrial development in developing countries and economies in transition, with a view to assisting in the establishment of a new international economic order ( The UNIDO also initiates, coordinates and follows up the activities of the UN system in the field of industrial development, and acts as a forum and instrument for industrial cooperation and partnership ( The UNIDO provides technical assistance, policy advice, and capacity-building services to its Member States, and supports the development, transfer and adaptation of industrial technology. The UNIDO gives due regard to the specific needs and priorities of the least developed countries, as well as to the principle of equitable geographical distribution (","Collaborates with sectors like governments, private sector, civil society for policy coherence",Cross-Sectoral Collaboration
