Institutions,Cleaned Practical Vertical Coordination,Summarized Vertical Coordination,Themes
Intergovernmental Oceanographic Commission (IOC),"IOC collaborates with UN specialized agencies and international organizations related to marine sciences. It acts as a joint mechanism for UN organizations in marine science fields, fostering cooperation and ensuring that its requirements are considered in their programs​​. The IOC supports its mission through institutional relationships. It collaborates closely with the UNESCO, as the IOC functions as a specialized agency within UNESCO, detailed in Article 1-10 of the IOC’s statutes (). The IOC also partners with the World Meteorological Organization (WMO) to advance global oceanographic and atmospheric research, as outlined in the collaborative agreement between the two entities . Furthermore, the IOC works in conjunction with the UN Environment Programme (UNEP) to address marine environmental issues, with cooperation terms specified in the agreement between IOC and UNEP _EAF_CP6_BUR.DOC_6%20MOU%20between%20IOC%20&amp;%20UNEP.pdf?sequence=1&amp%3BisAllowed=). The IOC’s engagement with FAO, IAEA) and the World Health Organization, through the MOU on ciguatera poisoning . Additionally, the IOC maintains a relationship IMO, FAO, WMO, IAEA, and UNEP on the Joint Group of Experts on the Scientific Aspects of Marine Environmental Protection (GESAMP) . The IOC also contributes to the Global Ocean Observing System (GOOS), which is an international collaborative effort to observe the ocean and provide data for scientific research and policy-making . IOC has also built relationship with NGOs and private sectors, including A partnership agreement with the International Monohull Open Class Association , World Ocean Council , and Fugro .","The IOC coordinates with UN, ESCO, WMO, EP through mechanisms to advance research.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
Food and Agriculture Organization of the United Nations (FAO),"As stated in its constitution, the FAO maintains relations with the UN as a specialized agency (Article XII), and with other international, regional, and national organizations and authorities related to food and agriculture (Article XIII). The FAO may also enter into agreements with Member Nations for the establishment of international institutions dealing with food and agriculture (Article XV) . The FAO engages with a diverse array of institutions to advance its mission. It partners with Member States and various stakeholders, including civil society, the private sector, academia, and research centers, to combat food insecurity and malnutrition . The FAO’s collaboration with academia and research institutions is crucial for mobilizing knowledge and innovations, as well as for providing evidence-based solutions to policy processes . Furthermore, the FAO works closely with international organizations to facilitate partnerships for food and nutrition security, agriculture, and rural development3. For instance, the FAO’s Strategy for Private Sector Engagement aims to strengthen strategic engagement with the private sector towards achieving the Sustainable Development Goals (SDGs) . In addition, the FAO is involved in South-South Cooperation, which is a key instrument for delivering on its mandate and achieving the SDGs . This cooperation is facilitated through the FAO’s Partnerships and UN Collaboration Division, which develops strategic cooperation with non-state actors .","The FAO coordinates with UN, XII, XIII, XV through mechanisms to advance research.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,"The IMO collaborates with a diverse array of organizations to support its maritime governance objectives. It maintains formal relations with 66 intergovernmental organizations, as governed by Articles 25 and 66 of the Convention on the International Maritime Organization , and detailed in resolution A.1168(32) adopted by the IMO Assembly on 15 December 20211 .pdf). This includes cooperation with the UN (UN), with the relationship between the IMO and the UN outlined in Part XV of the IMO Convention, specifically Article 592 . The IMO also engages with non-governmental international organizations that contribute expert advice to IMO Member States on their respective areas of work, with formal relations established as per the provisions contained in the Rules and Guidelines for Consultative Status . Additionally, the IMO supports the implementation of the UN Decade of Ocean Science for Sustainable Development, collaborating with various stakeholders to enhance ocean governance3. These relationships enable the IMO to fulfill its mandate, ensuring the safety, security, and environmental performance of international shipping, and facilitating global maritime cooperation1. The IMO collaborates with the IOC inl research efforts to understand and address human impacts on the ocean’s ecosystems (The IOC coordinates global research efforts to understand and address human impacts on the ocean’s ecosystems, where the IMO contributes with its expertise on maritime aspects1.), including the Global Ocean Oxygen Decade (GOOD) . IMO collabortes with the IOC, IAEA, UNEP, WMO, and others on the GESAMP Working Group 45 on Climate Change and Greenhouse Gas Related Impacts on Contaminants in the Ocean . IMO als collaboration with GEF and UNDP to protect marine biodiversity by preventing the transfer of invasive aquatic species through the GloFouling Partnership project .","The IMO coordinates with UN, XV, Member States, IOC through frameworks to advance research.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),"DOALOS collaborates with key organizations to support ocean governance. It liaises with the International Seabed Authority (ISA), implementing a relationship agreement effective since 25 July 1996, as per UNCLOS Annex III Article 4 and the 1994 Agreement Article 177, detailed in resolution 48/263 . Similarly, DOALOS maintains a relationship with the International Tribunal for the Law of the Sea (ITLOS), providing administrative support based on an agreement aligned with the Tribunal's Statute Article 5 and the 1994 Agreement Article 178, detailed in resolution 51/204 . Additionally, DOALOS supports the Commission on the Limits of the Continental Shelf (CLCS) by providing technical assistance and facilities, aiding developing states in their submissions, with its functions detailed in CLCS Rules of Procedure and Annex II of UNCLOS . It also services the Informal Consultative Process (ICP) on Oceans and the Law of the Sea, preparing related reports, with its mandate in resolution 54/33 . Moreover, DOALOS facilitates the Regular Process for Global Reporting and Assessment of the Marine Environment, established in 2002, to enhance scientific understanding and decision-making, involving a Group of Experts and a Working Group, with terms detailed in resolution 57/141 . Moreover, DOALOS provides capacity-building assistance to developing countries in the field of ocean affairs and the law of the sea, through training, fellowships, technical assistance, and financial support .","The DOALOS coordinates with ISA, UN, CLOS, III through mechanisms to advance governance.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
Climate Change Secretariat,"The UNFCCC Secretariat maintains collaborative relationships with various UN agencies and international organizations to advance climate action and sustainable development . This collaboration includes working with the UN Development Programme (UNDP) on implementing NDCs under the Paris Agreement, with UNESCO to promote climate change education and research, and with the WHO and WMO to address health risks and improve climate data related to climate change . Additionally, the Secretariat aligns with the UN Convention to Combat Desertification (UNCCD) and the Convention on Biological Diversity (CBD) as part of the Rio Conventions from the 1992 Earth Summit. They focus on tackling climate change, desertification, and biodiversity loss through initiatives like land degradation neutrality and sustainable management. Strengthened by a 2023 memorandum of understanding, their cooperation is guided by the Joint Liaison Group (JLG), established to enhance synergy and coordination among the Rio Conventions .","The UN coordinates with FCCC, DP, NDC, ESCO through frameworks to advance research.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
International Seabed Authority,"The ISA cooperates with various organizations to achieve its objectives and mandates. It maintains a relationship with the UN (UN), as an observer to the UN General Assembly, based on an agreement in accordance with UNCLOS Article 156, paragraph 2, and the 1994 Agreement Article 169 . Similarly, it maintains a relationship with the International Tribunal for the Law of the Sea (ITLOS), as the principal judicial organ for the settlement of disputes relating to the activities in the Area, based on an agreement in accordance with UNCLOS Article 187 and the 1994 Agreement Article 178, detailed in resolution 51/205. Additionally, it consults and collaborates with the relevant specialized agencies of the UN, such as the Food and Agriculture Organization (FAO), the UN Environment Programme (UNEP), and the Intergovernmental Oceanographic Commission (IOC), as well as other international and regional organizations, such as the International Maritime Organization (IMO), the International Hydrographic Organization (IHO), and the regional fisheries management organizations (RFMOs), on matters of common interest, in accordance with UNCLOS Article 156, paragraph 3, and the 1994 Agreement Article 170 . It also participates in the Informal Consultative Process (ICP) on Oceans and the Law of the Sea, providing inputs and updates on its activities, with its role recognized in resolution 54/33 . Moreover, it contributes to the Regular Process for Global Reporting and Assessment of the Marine Environment, providing data and information on the environmental aspects of the activities in the Area, with its involvement encouraged in resolution 57/141 .","The ISA coordinates with UN, CLOS, ITLOS, FAO through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Environment Programme (UNEP),"UNEP collaborates with a wide range of organizations to fulfill its objectives. It engages with 193 Member States and various stakeholders through the UN Environment Assembly (UNEA), established in 2013 by resolution 67/251, serving as the highest-level environmental decision-making body . As the primary environmental authority within the UN system, UNEP's relationship with the UN is grounded in resolution 2997 (XXVII), which established UNEP in 1972 . Additionally, UNEP supports multilateral environmental agreements (MEAs) and regional seas conventions and action plans, providing legal and operational frameworks for specific environmental issues and regions, as stipulated in resolution 2997 (XXVII), paragraph 2 c , and resolution 58/240, paragraph 4 of the UN General Assembly . It also collaborates with UN specialized agencies like FAO, IMO, and IOC, and other organizations such as ISA, ITLOS, and RFMOs, addressing shared environmental concerns. Moreover, UNEP contributes to the Regular Process for Global Reporting and Assessment of the Marine Environment, offering data on marine environmental conditions, as recognized in resolution 57/141, paragraph 6 .","The UN coordinates with EP, Member States, EA, XXVII through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Development Programme (UNDP),"UNDP collaborates with various partners to advance sustainable development. It works with governments, providing policy advice, technical assistance, and financial support, based on the UN Development Assistance Framework (UNDAF) and the Country Programme Documents (CPDs) that outline the country-specific priorities and results . It coordinates with the UN development system, ensuring coherent and effective support to countries, with its Administrator as the Vice-Chair of the UN Sustainable Development Group, which unites the 40 UN entities that contribute to the attainment of the 2030 Agenda for Sustainable Development at the country level . Furthermore, UNDP partners with international financial institutions, mobilizing non-core funding and implementing joint projects, such as the World Bank, the African Development Bank, the Asian Development Bank and the Inter-American Development Bank, with whom UNDP has formal agreements . It likewise collaborates with other UN entities, such as the UN Environment Programme, the UN Human Settlements Programme, the UN Office on Drugs and Crime, and the UN Entity for Gender Equality and the Empowerment of Women, on various thematic areas and initiatives, while also engaging with the private sector to foster innovation and entrepreneurship, and with foundations, civil society organizations, and goodwill ambassadors, leveraging their knowledge, networks, and resources, through various platforms and initiatives like the SDG Philanthropy Platform, the Business Call to Action, and the UNDP Innovation Facility . These partnerships are essential for UNDP to fulfill its strategic plan and contribute to the 2030 Agenda for Sustainable Development.","The UN coordinates with DP, DAF, CPD, SDG through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Conference on Trade and Development (UNCTAD),"UNCTAD collaborates with various organizations to achieve its objectives and mandates. It engages with 195 Member States and various stakeholders through the UNCTAD conference, held every four years, serving as the highest-level decision-making body on trade and development issues . As the main organ of the General Assembly in the field of trade and development, UNCTAD's relationship with the UN is based on resolution 1995 (XIX), which established UNCTAD in 1964 . Additionally, UNCTAD leads the UN Inter-Agency Cluster on Trade and Productive Capacity, involving 15 UN agencies, providing a mechanism for the coordination of trade and development operations at the national and regional levels within the UN system, as endorsed by the UN Chief Executives Board for Coordination . It also cooperates with other international and regional organizations, such as WTO, OECD, World Bank, ILO, and CITES, UNDP, UNIDO, IMF, etc addressing common trade and development challenges . Moreover, UNCTAD supports the implementation of the UN development agenda and the Sustainable Development Goals, offering research and analysis, technical assistance, intergovernmental consensus-building, and policy advice for developing countries, as recognized in resolution 71/215 .","The UN coordinates with CTAD, Member States, XIX, WTO through frameworks to advance research.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
"United Nations Industrial Development Organization (UNIDO),","UNIDO collaborates with various organizations to achieve its objectives and mandates. It works with 170 Member States and various stakeholders through the General Conference, the Industrial Development Board, and the Programme and Budget Committee, which are the policymaking organs of the Organization, as stipulated in Chapter III of the Constitution of UNIDO . As a specialized agency of the UN, UNIDO's relationship with the UN is based on the Agreement between the UN and the UN Industrial Development Organization, which entered into force in 1985, as detailed in resolution 40/180 of the UN General Assembly . It also partners with other UN entities, such as FAO, IAEA, ILO, UNCTAD, UNDP, UNEP, UNESCO, UNFCCC, and WHO .) international financial institutions, such as the African Development Bank, the European Investment Bank and the World Bank , as well as other intergovernmental organizations, such as the African Union, the European Union, the Organization of American States, and the Organization of Islamic Cooperation, addressing common industrial challenges and opportunities . Moreover, UNIDO engages with the private sector, civil society, academia, and media, fostering inclusive and sustainable industrialization .","The UN coordinates with IDO, Member States, III, FAO through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
