Institutions,Vertical,Cleaned Practical Vertical Coordination,Summarized Vertical Coordination,Themes
Intergovernmental Oceanographic Commission (IOC),"Vertical coordination within the IOC involves collaboration with various levels of institutions and authorities. The IOC, under UNESCO, engages with Member States, United Nations bodies, and other international organizations to achieve its objectives. This coordination is structured under the IOC’s statutes and strategic plans, which outline the framework for cooperation with entities at different levels. The IOC operates through its Assembly, Executive Council, and Secretariat, which are responsible for implementing the decisions and strategies of the organization. The IOC also has subsidiary bodies, such as regional sub-commissions and working groups, that address specific regional and thematic areas. Within the OCean Decasde Framework, IOC coordinate with the Decade Coordination Unit (DCU) which is  the central hub that manages the day-to-day operations and implementation of the Ocean Decade, Decade Advisory Board, composed of fifteen members, provides strategic technical advice on implementation of the Ocean Decade (https://www.oceandecade.org/decade-advisory-board/), Ocean Decade Alliance an high-level group of eminent partners which aim to catalyze large-scale resource commitments towards the Decade through networking, resource mobilization and influence (https://www.oceandecade.org/ocean-decade-alliance/), .Decade Collaborative Centres and Decade Coordination Offices to provide targeted support to the Ocean Decade through a coordination and catalysis role for Decade Actions at the regional or thematic level (https://oceandecade.org/decade-collaborative-centres/), Decade Implementing Partners including non-UN regional or international stakeholder organizations that sit outside formal governance and coordination structures of the Ocean Decade (https://oceandecade.org/decade-implementing-partners/) and Informal Working Groups.  The IOC’s work is organized around six major programme areas (Understand, Measure, Alert, Evaluate   Manage, and Enable) each overseen by a Head of Sections ( (Science, Ocean Observation and services, Tsunami, Marine Policy, Ocean Literacy)) who works closely with the Executive Generall to implement strategies and programmes across all levels of the (https://www.ioc.unesco.org/en/enable)Within its Secretariate,  IOC operates the IOC Science and Communication Centre on Harmful Algae, Intergovernmental Coordination Group for the Indian Ocean Tsunami Warning and Mitigation System, Indian Ocean Tsunami Information Centre, Caribbean Tsunami Information Center, and the IOC/WMO Joint Centre for Oceanography and Marine Meteorology in situ Observations Programmes Support. The IOC’s efforts are further supported by a network of national focal persons (http://itic.ioc-unesco.org/index.php?option=com_oe&task=viewDocumentRecord&docID=17716) ), and also the National UNESCO Commissions offices (https://pax.unesco.org/countries/NationalCommissions.html) who promote the safe and sustainable use of ocean resources. Also through its  International Oceanographic Data and Information Exchange (IODE), IOC coordinates a global network of more than 100 National Oceanographic Data Centres (NODCs), Associate Data Units (ADUs) and Associate Information Units (AIUs) to manage and make available millions of ocean observations that contribute to ocean data products and services developed and used by other IOC programmes (https://www.ioc.unesco.org/en/data-information).  There is also the IOC Project Office in Venice  dedicated to o Ocean Literacy programs regarding marine science education and communication https://oceanliteracy.unesco.org/intergovernmental-oceanographic-commission-of-unesco-ioc-unesco/).","Vertical coordination within the IOC involves collaboration with various levels of institutions and authorities. The IOC, under UNESCO, engages with Member States, UN bodies, and other international organizations to achieve its objectives. This coordination is structured under the IOC’s statutes and strategic plans, which outline the framework for cooperation with entities at different levels. The IOC operates through its Assembly, Executive Council, and Secretariat, tasked with implementing the decisions and strategies of the organization. The IOC also has subsidiary bodies, such as regional sub-commissions and working groups, that address specific regional and thematic areas. Within the Ocean Decade Framework, IOC coordinate with the Decade Coordination Unit (DCU) which is  the central hub that manages the day-to-day operations and implementation of the Ocean Decade, Decade Advisory Board, composed of fifteen members, provides strategic technical advice on implementation of the Ocean Decade ( Ocean Decade Alliance an high-level group of eminent partners which aim to catalyze large-scale resource commitments towards the Decade through networking, resource mobilization and influence ( .Decade Collaborative Centres and Decade Coordination Offices to provide targeted support to the Ocean Decade through a coordination and catalysis role for Decade Actions at the regional or thematic level ( Decade Implementing Partners including non-UN regional or international stakeholder organizations that sit outside formal governance and coordination structures of the Ocean Decade ( and Informal Working Groups.  The IOC’s work is organized around six major programme areas (Understand, Measure, Alert, Evaluate   Manage, and Enable) each overseen by a Head of Sections ( (Science, Ocean Observation and services, Tsunami, Marine Policy, Ocean Literacy)) who works closely with the Executive Generall to implement strategies and programmes across all levels of the ( its Secretariate,  IOC operates the IOC Science and Communication Centre on Harmful Algae, Intergovernmental Coordination Group for the Indian Ocean Tsunami Warning and Mitigation System, Indian Ocean Tsunami Information Centre, Caribbean Tsunami Information Center, and the IOC/WMO Joint Centre for Oceanography and Marine Meteorology in situ Observations Programmes Support. The IOC’s efforts are further supported by a network of national focal persons ( ), and also the National UNESCO Commissions offices ( who promote the safe and sustainable use of ocean resources. Also through its  International Oceanographic Data and Information Exchange (IODE), IOC coordinates a global network of more than 100 National Oceanographic Data Centres (NODCs), Associate Data Units (ADUs) and Associate Information Units (AIUs) to manage and make available millions of ocean observations that contribute to ocean data products and services developed and used by other IOC programmes (  There is also the IOC Project Office in Venice  dedicated to o Ocean Literacy programs regarding marine science education and communication","Coordinates with UN agencies, Member States through its Assembly, Council, Secretariat using regional structures with technical support","Multi-Level Governance Structures, Collaboration with External Entities, Regional and Local Implementation, Technical and Capacity-Building Support"
Food and Agriculture Organization of the United Nations (FAO),"The FAO’s vertical coordination involves collaboration with various levels of governance and institutions, including the United Nations, specialized agencies, regional and intergovernmental organizations, national governments, and local authorities. The FAO operates through the Conference of all the members, the Council, and a secretariat headed by a Director-General  (Articles III, IV, V, and VII). It also has committees, commissions, and other subsidiary bodies that assist members in implementing standards, policies, and programmes, providing technical cooperation and assistance upon request (https://www.fao.org/3/k8024e/k8024e.pdf)
The FAO’s work is organized around five major programme areas, each overseen by a Deputy Director-General who works closely with the Director-General to implement strategies and programmes across all levels of the Organization (https://www.fao.org/3/ne576en/ne576en.pdf). The Senior Management Team, consisting of the Director-General and Deputy Directors-General, provides strategic and operational guidance to ensure coherence and alignment between the different departments and divisions of the Organization and the governing bodies https://www.fao.org/about/org-chart/en/). Furthermore, the FAO’s structure includes Regional, Liaison, and Country Offices, Subregional Offices, and Partnership and Liaison Offices, which facilitate the FAO’s work on the ground, ensuring that its global mandates are translated into local action (https://www.fao.org/about/who-we-are/worldwide-offices/en/). The Governing Bodies, such as the Conference, Council, Regional Conferences, Committee on World Food Security, Council Committees, and Technical Committees (https://www.fao.org/unfao/govbodies/home/en/) and the Statutory Bodies (https://www.fao.org/unfao/govbodies/gsb-subject-matter/subject-matter/en/) , play a pivotal role in decision-making and oversight. The Oversight Advisory Committee further supports this structure by providing independent advice on issues related to governance, risk management, and internal control https://www.fao.org/about/oversight-advisory-committee/en/). In alignment with the UN Development System reform, the FAO leverages the UN Sustainable Development Cooperation Framework and UN Common Country Analysis to integrate food security and agrifood systems transformation within the broader UN support to national governments (https://www.fao.org/partnerships/fao-un-system/en). This approach ensures that the FAO’s efforts are harmonized with the UN’s overarching goals and contribute effectively to sustainable development initiatives globally.","The FAO’s vertical coordination involves collaboration with various levels of governance and institutions, including UN, specialized agencies, regional and intergovernmental organizations, national governments, and local authorities. The FAO operates through the Conference of all the members, the Council, and a secretariat headed by a Director-General  (Articles III, IV, V, and VII). It also has committees, commissions, and other subsidiary bodies that assist members in implementing standards, policies, and programmes, providing technical cooperation and assistance upon request (
The FAO’s work is organized around five major programme areas, each overseen by a Deputy Director-General who works closely with the Director-General to implement strategies and programmes across all levels of the Organization ( The Senior Management Team, consisting of the Director-General and Deputy Directors-General, provides strategic and operational guidance to ensure coherence and alignment between the different departments and divisions of the Organization and the governing bodies  Furthermore, the FAO’s structure includes Regional, Liaison, and Country Offices, Subregional Offices, and Partnership and Liaison Offices, which facilitate the FAO’s work on the ground, ensuring that its global mandates are translated into local action ( The Governing Bodies, such as the Conference, Council, Regional Conferences, Committee on World Food Security, Council Committees, and Technical Committees ( and the Statutory Bodies ( , play a pivotal role in decision-making and oversight. The Oversight Advisory Committee further supports this structure by providing independent advice on issues related to governance, risk management, and internal control  In alignment with the UN Development System reform, the FAO leverages the UN Sustainable Development Cooperation Framework and UN Common Country Analysis to integrate food security and agrifood systems transformation within the broader UN support to national governments ( This approach ensures that the FAO’s efforts are harmonized with the UN’s overarching goals and contribute effectively to sustainable development initiatives globally.","Coordinates with UN agencies, governments through its Council, Conference using regional structures with technical support","Multi-Level Governance Structures, Collaboration with External Entities, Regional and Local Implementation, Technical and Capacity-Building Support"
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,"Vertical coordination within IMO involves collaboration with higher and lower level institutions, such as the United Nations, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is structured under the Relationship with Other Organizations section of the IMCO Convention, specifically in Articles 45-49. The IMO operates through an Assembly of all the members, a Council of 40 members, and a Secretary-General (Articles 12-18 of the Convention) The IMO operates through its Assembly, Council, and a series of committees and sub-committees, Legal Committee, Technical Cooperation Committe, Facilitation Committee and the Secretariat that address various aspects of maritime safety, security, and environmental protection (https://www.imo.org/en/About/Pages/Structure.aspx). It also works closely with Member States to implement and enforce international maritime conventions and standards (https://treaties.un.org/doc/Publication/UNTS/Volume%201276/volume-1276-I-4214-English.pdf).  . The IMO also has committees, sub-committees, and other subsidiary bodies (Articles 19-24). The IMO assists members in the implementation of its conventions, codes, standards, and guidelines, and provides technical assistance and capacity building upon request (Articles 25-26).  This coordination is also structured under the IMO’s framework for cooperation with intergovernmental organizations, as established in resolution A.1168(32) adopted by the IMO Assembly (https://wwwcdn.imo.org/localresources/en/KnowledgeCentre/IndexofIMOResolutions/AssemblyDocuments/A.1168(32).pdf).  The World Maritime University (WMU) and the IMO International Maritime Law Institute (IMLI) are key educational pillars of the IMO, fostering expertise and knowledge in maritime law and policy (https://www.imo.org/en/About/Pages/WMUandIMLI.aspx). There are also some affliated bodies to the IMO including  the Global MTCC Network (GMN)  focusing on improving energy efficiency in the maritime sector and supports developing regions in moving towards maritime decarbonization (https://www.imo.org/en/OurWork/PartnershipsProjects/Pages/IMO-EuropeanUnionProject.aspx) . IMO has regional coordinators/advisors for technical cooperation activities, in Cote d'Ivoire, Ghana, Kenya, Philippines and Trinidad and Tobago (https://www.imo.org/en/about/pages/structure.aspx#9). The IMO operates a network of regional centers, including NOWPAP MERRAC, REMPEITC-Caribe, MEMAC, ROPME, REMPEC, PEMSEA, and PERSGA, which play crucial roles in regional maritime safety, security, and environmental protection efforts","Vertical coordination within IMO involves collaboration with higher and lower level institutions, such as the UN, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is structured under the Relationship with Other Organizations section of the IMCO Convention, specifically in Articles 45-49. The IMO operates through an Assembly of all the members, a Council of 40 members, and a Secretary-General (Articles 12-18 of the Convention) The IMO operates through its Assembly, Council, and a series of committees and sub-committees, Legal Committee, Technical Cooperation Committe, Facilitation Committee and the Secretariat that address various aspects of maritime safety, security, and environmental protection ( It also works closely with Member States to implement and enforce international maritime conventions and standards (  . The IMO also has committees, sub-committees, and other subsidiary bodies (Articles 19-24). The IMO assists members in the implementation of its conventions, codes, standards, and guidelines, and provides technical assistance and capacity building upon request (Articles 25-26).  This coordination is also structured under the IMO’s framework for cooperation with intergovernmental organizations, as established in resolution A.1168(32) adopted by the IMO Assembly (  The World Maritime University (WMU) and the IMO International Maritime Law Institute (IMLI) are key educational pillars of the IMO, fostering expertise and knowledge in maritime law and policy ( There are also some affliated bodies to the IMO including  the Global MTCC Network (GMN)  focusing on improving energy efficiency in the maritime sector and supports developing regions in moving towards maritime decarbonization ( . IMO has regional coordinators/advisors for technical cooperation activities, in Cote d'Ivoire, Ghana, Kenya, Philippines and Trinidad and Tobago (#9). The IMO operates a network of regional centers, including NOWPAP MERRAC, REMPEITC-Caribe, MEMAC, ROPME, REMPEC, PEMSEA, and PERSGA, which play crucial roles in regional maritime safety, security, and environmental protection efforts","Coordinates with UN agencies, Member States, governments through its Assembly, Council, Secretariat using regional structures with technical support","Multi-Level Governance Structures, Collaboration with External Entities, Regional and Local Implementation, Technical and Capacity-Building Support"
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),"DOALOS engages in vertical coordination with various levels of institutions, including the United Nations, specialized agencies, regional bodies, national governments, and local authorities, as outlined in section 9.2 of its governing document.  The structure of this coordination is outlined in the Secretary-General's Bulletin ST/SGB/2021/1, which organizes the Office of Legal Affairs and details the functions of DOALOS (https://digitallibrary.un.org/record/798635/files/ST_SGB_2015_3-EN.pdf?ln=en). It operates under the guidance of the Under-Secretary-General for Legal Affairs and the Director of the Division, with specialized sections and units handling distinct functions (section 9.3). DOALOS aids in implementing the Convention and related Agreements, offering technical cooperation and capacity building (section 9.4). It maintains liaison with entities like the International Seabed Authority and the International Tribunal for the Law of the Sea, and provides support to the Commission on the Limits of the Continental Shelf, the General Assembly, and the Regular Process for Global Reporting and Assessment of the Marine Environment, incuding Socioeconomic Aspects (section 9.5) (https://digitallibrary.un.org/record/798635/files/ST_SGB_2015_3-EN.pdf?ln=en).  DOALOS operates through the Meeting of States Parties to the Convention, providing substantive servicing to this and other related bodies². It also assists members in implementing the United Nations Convention on the Law of the Sea and related agreements, offering training, fellowships, and technical assistance (https://www.un.org/depts/los/doalos_activities/about_doalos.htm). DOALOS's work is structured to ensure the consistent application of the Convention across various levels of governance, supporting the development of maritime policies that align with international law (https://www.un.org/depts/los/doalos_activities/about_doalos.htm). The Division also engages with the International Seabed Authority and the International Tribunal for the Law of the Sea, maintaining liaison and providing administrative support as necessary¹. Additionally, DOALOS supports the Commission on the Limits of the Continental Shelf and facilitates the Regular Process for Global Reporting and Assessment of the State of the Marine Environment (https://digitallibrary.un.org/record/798635/files/ST_SGB_2015_3-EN.pdf?ln=en). ","DOALOS engages in vertical coordination with various levels of institutions, including UN, specialized agencies, regional bodies, national governments, and local authorities, as outlined in section 9.2 of its governing document.  The structure of this coordination is outlined in the Secretary-General's Bulletin ST/SGB/2021/1, which organizes the Office of Legal Affairs and details the functions of DOALOS ( It operates under the guidance of the Under-Secretary-General for Legal Affairs and the Director of the Division, with specialized sections and units handling distinct functions (section 9.3). DOALOS aids in implementing the Convention and related Agreements, offering technical cooperation and capacity building (section 9.4). It maintains liaison with entities like the International Seabed Authority and the International Tribunal for the Law of the Sea, and provides support to the Commission on the Limits of the Continental Shelf, the General Assembly, and the Regular Process for Global Reporting and Assessment of the Marine Environment, incuding Socioeconomic Aspects (section 9.5) (  DOALOS operates through the Meeting of States Parties to the Convention, providing substantive servicing to this and other related bodies². It also assists members in implementing the UN Convention on the Law of the Sea and related agreements, offering training, fellowships, and technical assistance ( DOALOS's work is structured to ensure the consistent application of the Convention across various levels of governance, supporting the development of maritime policies that align with international law ( The Division also engages with the International Seabed Authority and the International Tribunal for the Law of the Sea, maintaining liaison and providing administrative support as necessary¹. Additionally, DOALOS supports the Commission on the Limits of the Continental Shelf and facilitates the Regular Process for Global Reporting and Assessment of the State of the Marine Environment (",through its Assembly using regional structures with technical support,"Multi-Level Governance Structures, Regional and Local Implementation, Technical and Capacity-Building Support"
Climate Change Secretariat,"Vertical coordination within UNFCCC involves collaboration with higher and lower level institutions, such as the United Nations, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is structured under the Relationship with Other Bodies section of the Convention, specifically in Articles 7, 8, 11, and 16. The UNFCCC operates through a Conference of the Parties (COP) of all the members, a Bureau of 11 members, and a secretariat headed by an Executive Secretary (Articles 7 and 8). The UNFCCC also has two subsidiary bodies for scientific and technological advice (SBSTA) and for implementation (SBI), as well as other subsidiary bodies and mechanisms as needed (Articles 9 and 10). The UNFCCC facilitates the provision of financial resources and the transfer of technology to developing country Parties, through a financial mechanism operated by an entity or entities designated by the COP (Article 11). The UNFCCC also adopts and amends annexes to the Convention, which may include lists of Parties with different commitments or responsibilities in accordance with the rules of procedure and the principles of the Convention (Article 16). (https://unfccc.int/resource/docs/convkp/conveng.pdf)","Vertical coordination within UNFCCC involves collaboration with higher and lower level institutions, such as the UN, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is structured under the Relationship with Other Bodies section of the Convention, specifically in Articles 7, 8, 11, and 16. The UNFCCC operates through a Conference of the Parties (COP) of all the members, a Bureau of 11 members, and a secretariat headed by an Executive Secretary (Articles 7 and 8). The UNFCCC also has two subsidiary bodies for scientific and technological advice (SBSTA) and for implementation (SBI), as well as other subsidiary bodies and mechanisms as needed (Articles 9 and 10). The UNFCCC facilitates the provision of financial resources and the transfer of technology to developing country Parties, through a financial mechanism operated by an entity or entities designated by the COP (Article 11). The UNFCCC also adopts and amends annexes to the Convention, which may include lists of Parties with different commitments or responsibilities in accordance with the rules of procedure and the principles of the Convention (Article 16). (","Coordinates with UN agencies, governments through its Conference, COP using regional structures","Multi-Level Governance Structures, Collaboration with External Entities, Regional and Local Implementation"
International Seabed Authority,"Vertical coordination within ISA involves cooperation with higher and lower level institutions, such as the United Nations, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is based on the general legal framework established by UNCLOS and the 1994 Agreement, specifically in Articles 156-170. The ISA operates through an Assembly of all the members, a Council of 36 members, and a Secretary-General (Articles 156-166). The ISA also has three subsidiary bodies: the Legal and Technical Commission, the Finance Committee, and the Enterprise (Articles 163-170). The ISA supports members in the administration of the resources and activities in the Area, and provides training and capacity building for personnel from developing States (Articles 143-144).","Vertical coordination within ISA involves cooperation with higher and lower level institutions, such as the UN, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is based on the general legal framework established by UNCLOS and the 1994 Agreement, specifically in Articles 156-170. The ISA operates through an Assembly of all the members, a Council of 36 members, and a Secretary-General (Articles 156-166). The ISA also has three subsidiary bodies: the Legal and Technical Commission, the Finance Committee, and the Enterprise (Articles 163-170). The ISA supports members in the administration of the resources and activities in the Area, and provides training and capacity building for personnel from developing States (Articles 143-144).","through its Assembly, Council using regional structures with technical support","Multi-Level Governance Structures, Regional and Local Implementation, Technical and Capacity-Building Support"
United Nations Environment Programme (UNEP),"Vertical coordination within UNEP involves collaboration with higher and lower level institutions, such as the United Nations, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is structured under the Relationship with the United Nations and Inter-Agency Cooperation section of the Governing Council decision 2/1, specifically in paragraphs 3-5. UNEP operates through the UN Environment Assembly (UNEA) of all the members, a Committee of Permanent Representatives of 58 members, and a secretariat headed by an Executive Director (paragraphs 6-8) (http://wedocs.unep.org/bitstream/handle/20.500.11822/17307/K1607113_UNEPEA2_RES1E.docx?sequence=5&isAllowed=y). UNEP also has six regional offices and various thematic divisions and centres (paragraph 9) (http://wedocs.unep.org/bitstream/handle/20.500.11822/17307/K1607113_UNEPEA2_RES1E.docx?sequence=5&isAllowed=y). UNEP supports the implementation of multilateral environmental agreements (MEAs) and regional seas conventions and action plans, which provide legal frameworks and operational mechanisms for addressing specific environmental issues and regions (paragraph 10) (http://wedocs.unep.org/bitstream/handle/20.500.11822/17307/K1607113_UNEPEA2_RES1E.docx?sequence=5&isAllowed=y). UNEP also chairs the Environment Management Group (EMG), a system-wide coordination body established to enhance inter-agency cooperation on environmental issues, and builds on close cooperation with the UN Development Group (UNDG) and the UN’s coordination mechanisms of the Chief Executives Board (CEB) (paragraph 11). (https://wedocs.unep.org/bitstream/handle/20.500.11822/12698/CASM_web.pdf?sequence=1&amp%3BisAllowed=)","Vertical coordination within UNEP involves collaboration with higher and lower level institutions, such as the UN, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is structured under the Relationship with the UN and Inter-Agency Cooperation section of the Governing Council decision 2/1, specifically in paragraphs 3-5. UNEP operates through the UN Environment Assembly (UNEA) of all the members, a Committee of Permanent Representatives of 58 members, and a secretariat headed by an Executive Director (paragraphs 6-8) ( UNEP also has six regional offices and various thematic divisions and centres (paragraph 9) ( UNEP supports the implementation of multilateral environmental agreements (MEAs) and regional seas conventions and action plans, which provide legal frameworks and operational mechanisms for addressing specific environmental issues and regions (paragraph 10) ( UNEP also chairs the Environment Management Group (EMG), a system-wide coordination body established to enhance inter-agency cooperation on environmental issues, and builds on close cooperation with the UN Development Group (UNDG) and the UN’s coordination mechanisms of the Chief Executives Board (CEB) (paragraph 11). (","Coordinates with UN agencies, governments through its Assembly, Council using regional structures","Multi-Level Governance Structures, Collaboration with External Entities, Regional and Local Implementation"
United Nations Development Programme (UNDP),"Vertical coordination within UNDP involves working with higher and lower level institutions, such as the United Nations, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is achieved through alignment, integration, and coherence for SDG implementation and review. This is structured under the Institutional and Coordination Mechanisms guidance note, which provides information on how countries have adapted their existing institutional and coordination frameworks or established new ones in order to implement the SDGs (https://www.undp.org/sites/g/files/zskgke326/files/publications/Institutional_Coordination_Mechanisms_GuidanceNote.pdf). The UNDP operates through the Executive Board of 36 members, which oversees and supports the activities of UNDP, UNFPA, UNOPS, and UN Women. The UNDP also has a leadership team headed by an Administrator, who is the third highest-ranking official of the United Nations after the United Nations Secretary-General and Deputy Secretary-General (https://www.undp.org/organizational-chart). The UNDP leadership team consists of an Associate Administrator, five Assistant Administrators, a Director of the Bureau of External Relations and Advocacy, a Director of the Bureau of Management Services, and a Chief of Staff (https://www.undp.org/organizational-chart). It has six regional bureaus, each led by a Regional Director, who works closely with the Administrator and the leadership team to implement strategies and programmes across all levels of the organization (https://www.undp.org/organizational-chart). There is also the UN Development Group (UNDG), which unites the 40 UN funds, programmes, specialized agencies, departments, and offices that play a role in development (https://unsceb.org/united-nations-development-group-undg). The UNDG is led by the UNDG Chair, who is the UNDP Administrator, and supported by the UNDG secretariat, which is hosted by UNDP. The UNDG ensures coordination and coherence among the UN entities at the global, regional, and country levels, and supports the Resident Coordinators and UN Country Teams in delivering effective and efficient support to countries (https://unsceb.org/about). The UNDP also has country offices and technical experts that support the UNDP's work in promoting sustainable development, democratic governance, and peacebuilding in 170 countries and territories (https://www.undp.org/acceleratorlabs/our-locations). Additionally, the UNDP hosts the UN Office for South-South Cooperation, which promotes and facilitates South-South and triangular cooperation among countries across the world (https://data.undp.org/insights/south-south-cooperation).","Vertical coordination within UNDP involves working with higher and lower level institutions, such as the UN, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is achieved through alignment, integration, and coherence for SDG implementation and review. This is structured under the Institutional and Coordination Mechanisms guidance note, which provides information on how countries have adapted their existing institutional and coordination frameworks or established new ones in order to implement the SDGs ( The UNDP operates through the Executive Board of 36 members, which oversees and supports the activities of UNDP, UNFPA, UNOPS, and UN Women. The UNDP also has a leadership team headed by an Administrator, who is the third highest-ranking official of the UN after the UN Secretary-General and Deputy Secretary-General ( The UNDP leadership team consists of an Associate Administrator, five Assistant Administrators, a Director of the Bureau of External Relations and Advocacy, a Director of the Bureau of Management Services, and a Chief of Staff ( It has six regional bureaus, each led by a Regional Director, who works closely with the Administrator and the leadership team to implement strategies and programmes across all levels of the organization ( There is also the UN Development Group (UNDG), which unites the 40 UN funds, programmes, specialized agencies, departments, and offices that play a role in development ( The UNDG is led by the UNDG Chair, who is the UNDP Administrator, and supported by the UNDG secretariat, which is hosted by UNDP. The UNDG ensures coordination and coherence among the UN entities at the global, regional, and country levels, and supports the Resident Coordinators and UN Country Teams in delivering effective and efficient support to countries ( The UNDP also has country offices and technical experts that support the UNDP's work in promoting sustainable development, democratic governance, and peacebuilding in 170 countries and territories ( Additionally, the UNDP hosts the UN Office for South-South Cooperation, which promotes and facilitates South-South and triangular cooperation among countries across the world (",using regional structures with technical support,"Regional and Local Implementation, Technical and Capacity-Building Support"
United Nations Conference on Trade and Development (UNCTAD),"Vertical coordination within UNCTAD involves collaboration with higher and lower level institutions, such as the United Nations, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is structured under the Relationship with Other Institutions within the United Nations System section of the General Assembly resolution 1995 (XIX), specifically in section II, paragraph 3 d (https://unctad.org/system/files/official-document/edmmisc232add19_en.pdf). UNCTAD also has a Trade and Development Board of 55 members, a secretariat headed by a Secretary-General, and various commissions, committees, and intergovernmental groups (section IV, paragraphs 32-40) (https://unctad.org/system/files/official-document/dtltlb2016d1_en.pdf). UNCTAD supports the implementation of the UN development agenda and the Sustainable Development Goals, offering research and analysis, technical assistance, intergovernmental consensus-building, and policy advice for developing countries (section II, paragraph 3 c) (https://elearning.unctad.org/pluginfile.php/34150/mod_page/content/12/UNCTAD_Competition_Consumer_Policies_short_course_part1.pdf). UNCTAD also leads the UN Inter-Agency Cluster on Trade and Productive Capacity, involving 15 UN agencies, providing a mechanism for the coordination of trade and development operations at the national and regional levels within the UN system, as endorsed by the UN Chief Executives Board for Coordination (https://unctad.org/system/files/official-document/dom20092rev1_en.pdf). UNCTAD also cooperates with other international and regional organizations, such as WTO, OECD, World Bank, ILO, and CITES, addressing common trade and development challenges (https://documents-dds-ny.un.org/doc/UNDOC/GEN/N16/459/44/PDF/N1645944.pdf?OpenElement).","Vertical coordination within UNCTAD involves collaboration with higher and lower level institutions, such as the UN, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is structured under the Relationship with Other Institutions within the UN System section of the General Assembly resolution 1995 (XIX), specifically in section II, paragraph 3 d ( UNCTAD also has a Trade and Development Board of 55 members, a secretariat headed by a Secretary-General, and various commissions, committees, and intergovernmental groups (section IV, paragraphs 32-40) ( UNCTAD supports the implementation of the UN development agenda and the Sustainable Development Goals, offering research and analysis, technical assistance, intergovernmental consensus-building, and policy advice for developing countries (section II, paragraph 3 c) ( UNCTAD also leads the UN Inter-Agency Cluster on Trade and Productive Capacity, involving 15 UN agencies, providing a mechanism for the coordination of trade and development operations at the national and regional levels within the UN system, as endorsed by the UN Chief Executives Board for Coordination ( UNCTAD also cooperates with other international and regional organizations, such as WTO, OECD, World Bank, ILO, and CITES, addressing common trade and development challenges (","Coordinates with UN agencies, governments through its Assembly using regional structures with technical support","Multi-Level Governance Structures, Collaboration with External Entities, Regional and Local Implementation, Technical and Capacity-Building Support"
"United Nations Industrial Development Organization (UNIDO),","Vertical coordination within UNIDO involves collaboration with higher and lower level institutions, such as the United Nations, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is structured under the Relationship with the United Nations section of the Constitution of UNIDO, specifically in Article 9. UNIDO operates through the General Conference of all the members, the Industrial Development Board of 53 members, and the Secretariat headed by a Director General (Articles 5-8) (https://www.unido.org/sites/default/files/files/2020-11/19-12162_UNIDO_Constitution_ebook.pdf). In various countries and regions, UNIDO operates  30 field officers, 19 Regional Hub, 4  Liaison Offices, 10 Investment and Technology Promotion Offices, and 2 Project Offices (https://www.unido.org/who-we-are/unido-worldwide). UNIDO supports the implementation of the 2030 Agenda for Sustainable Development and the Sustainable Development Goals, which provide the global framework and targets for addressing development challenges and opportunities (https://www.unido.org/our-focus-advancing-economic-competitiveness/achieving-sdgs). UNIDO also partners with other UN entities, such as FAO, IAEA, ILO, UNCTAD, UNDP, UNEP, UNESCO, UNFCCC, and WHO, as well as other intergovernmental organizations, such as the African Union, the European Union, the Organization of American States, and the Organization of Islamic Cooperation, addressing common industrial challenges and opportunities (https://www.unido.org/our-focus/cross-cutting-services/partnerships-prosperity/partnerships-international-development-organizations).
","Vertical coordination within UNIDO involves collaboration with higher and lower level institutions, such as the UN, other specialized agencies, regional and sub-regional organizations, national governments, and local authorities. This is structured under the Relationship with the UN section of the Constitution of UNIDO, specifically in Article 9. UNIDO operates through the General Conference of all the members, the Industrial Development Board of 53 members, and the Secretariat headed by a Director General (Articles 5-8) ( In various countries and regions, UNIDO operates  30 field officers, 19 Regional Hub, 4  Liaison Offices, 10 Investment and Technology Promotion Offices, and 2 Project Offices ( UNIDO supports the implementation of the 2030 Agenda for Sustainable Development and the Sustainable Development Goals, which provide the global framework and targets for addressing development challenges and opportunities ( UNIDO also partners with other UN entities, such as FAO, IAEA, ILO, UNCTAD, UNDP, UNEP, UNESCO, UNFCCC, and WHO, as well as other intergovernmental organizations, such as the African Union, the European Union, the Organization of American States, and the Organization of Islamic Cooperation, addressing common industrial challenges and opportunities (","Coordinates with UN agencies, governments through its Secretariat, Conference using regional structures","Multi-Level Governance Structures, Collaboration with External Entities, Regional and Local Implementation"
