Institutions,Cleaned Strategies,Summarized Strategies,Themes
Intergovernmental Oceanographic Commission (IOC),"IOC implements its objectives through series of strategic measures including, the Medium-Term Strategy 2022-2029 approved by the b IOC Assembly and Executive Council meetings , providing a roadmap for its goals and activities. Secondly, the IOC’s actions are guided by decisions made during the annual Assembly, which sets the direction for the organization’s work and strategic focus. The current focus includes the Ocean Decade Implementation Plan , which aims to generate the science needed for a sustainable ocean. Additionally, key strategic decisions are made biennially at IOC Assembly meetings and annually at Executive Council meetings, including the IOC develops biennial budgets and work plans that detail activities, outputs, indicators, and resources for each strategic objective . These are tailored to the needs of the Member States and the priorities of the global oceanographic community. Significantly, the IOC is tasked by the UN General Assembly with leading the implementation of the UN Decade of Ocean Science for Sustainable Development. At the regional level, the IOC’s regional sub-commissions, such as WESTPAC and IOCAFRICA, IOCCARRIBE also have corresponding Implementation plans and Ocean decade roadmaps focused on regional engagement and address specific challenges relevant to their areas .","The IOC drives strategies through plans, advancing sustainable development.",Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
Food and Agriculture Organization of the United Nations (FAO),"The FAO implements strategic measures: initially, the FAO Strategic Framework 2022-31, endorsed by the FAO Conference . This framework is aligned with the 2030 Agenda for Sustainable Development and emphasizes the 'four betters': better production, better nutrition, a better environment, and a better life . Additionally, the FAO develops a biennial programme budget and workplan, approved by the Council . Also, the FAO Science and Innovation Strategy Action Plan (2022-25) provides a common framework for FAO action at the country, sub-regional, regional and global levels . in addtion, there is the FAO National Framework for One Health framework to implement the One Health approach at the national level and assist national authorities in (i) enhancing national capacity for zoonotic diseases and AMR for prevention, detection and response; and (ii) improving joint coordination and collaboration between major stakeholders . There is also the The Director-General’s Medium Term Plan 2022-25 and Programme of Work and Budget 2022-23 which sets out the Strategic Objectives and Outcomes for achievement by Members and the international community with support from FAO, in accordance with the Strategic Framework 2022-31 . Regulatory mechanisms such as the Codex Alimentarius provide standards to ensure food safety and trade .","The FAO drives strategies through plans, advancing development.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,"IMO implements its objectives and mandates through various strategies, such as a six-year Strategic Plan adopted by the IMO Assembly every two years that defines the mission, vision, principles, directions, indicators, and outputs of the Organization. The current plan for the six-year period 2024 to 2029 is aligned with the UN Sustainable Development Goals and detailed in [resolution A.1149 (32)] . Another strategy is a biennial budget and work program which is prepared by the IMO Council and approved by the IMO Assembly, and outlines the resources, accomplishments, and achievements for each output of the Strategic Plan . The current program reflects the needs and priorities of the members and the industry and detailed in [resolution A.1150 (32)]. Thirdly, the 2023 IMO Strategy on Reduction of GHG Emissions from Ships sets a vision to reduce GHG emissions from international shipping and phase them out as soon as possible, with specific targets for carbon intensity reduction and the uptake of zero or near-zero GHG emission technologies . Additionally, the IMO maintains various regulatory frameworks, such as the International Convention for the Safety of Life at Sea (SOLAS) and the International Convention for the Prevention of Pollution from Ships (MARPOL), which are periodically updated to meet new challenges and technologies in maritime transport .","The IMO drives strategies through plans, advancing development.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),". DOALOS) executes its objectives through a multifaceted strategy: primarily, a continuous programme of assistance to States and intergovernmental organizations in the field of oceans and the law of the sea, which includes the uniform and consistent application of the UN Convention on the Law of the Sea and related Agreements . This assistance is tailored based on the needs of beneficiaries and is aligned with the 2030 Agenda for Sustainable Development and its Sustainable Development Goals . Additionally, DOALOS administers several Trust Funds established by the General Assembly to support States, particularly developing States, in implementing the Convention and participating in ocean-related work of the General Assembly . Furthermore, DOALOS provides advisory services, reference collections, databases, studies, and guidelines on ocean affairs and the law of the sea . It also plays a pivotal role in the Regular Process for Global Reporting and Assessment of the State of the Marine Environment, including Socioeconomic Aspects¹. These strategies and mechanisms collectively form the operational framework for DOALOS to fulfill its mandate and contribute to global ocean governance and sustainable development.","The DOALOS drives strategies through frameworks, advancing sustainable development.",Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
Climate Change Secretariat,"The UNFCCC Secretariat executes its objectives via several strategies: firstly, a six-year Strategic Plan, revised biennially by the Conference of the Parties, which establishes the secretariat's vision, mission, strategic goals, core functions, and targets. This plan, applicable for 2020-2025, aligns with the Paris Agreement and the 2030 Agenda for Sustainable Development, detailed in decision 18/CP.25. Secondly, a biennial programme budget and workplan, devised by the secretariat and ratified by the Conference of the Parties, detail activities, outputs, indicators, and resources corresponding to each strategic objective . The current budget and workplan for 2022-2023 are tailored to the Parties' needs and stakeholders' priorities, as outlined in decision FCCC/SBI/2021/4/Add . It also maintains the registry for Nationally Determined Contributions (NDC) established under the Paris Agreement, a key aspect of the implementation of the Paris Agreement . Finally, various agreements, mechanisms, platforms, and initiatives provide an operational framework for implementing the Convention, the Kyoto Protocol, and the Paris Agreement, addressing adaptation, mitigation, finance, technology, transparency, and capacity-building, with key instruments listed here .","The UN drives strategies through plans, advancing development.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
International Seabed Authority,"The International Seabed Authority (ISA) fulfills its objectives through diverse strategies: firstly, a five-year Strategic Plan , adopted in 2018 by the ISA Assembly , aligns with UNCLOS, the 1994 Agreement . Additionally, a High-Level Action Plan for 2019-2023, adopted in 2019 , outlines necessary actions to achieve the Strategic Plan's objectives, including priorities, standards and guidelines . The ISA also employs a data management strategy initiated in August 2016 , focusing on enhancing data collection, storage, analysis, and dissemination, supported by the ISA DeepData database , as detailed in ISBA/23/A/3. Furthermore, ISA issues 15-year contracts for mineral resource exploration in the Area to various contractors, covering polymetallic nodules, polymetallic sulphides, and cobalt-rich ferromanganese crusts , governed by ISA's rules and requiring contractors to provide data and support training for personnel from developing States . These strategies collectively ensure effective management and sustainable utilization of seabed resources.","The ISA drives strategies through frameworks, advancing sustainable development.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
United Nations Environment Programme (UNEP),"UNEP fulfills its objectives through diverse strategies: firstly, a four-year Medium-Term Strategy (MTS) for the period 2022–2025 set by and adopted by the UN Environmental Assembly (UNEA), adopted in 2021 , aligns with the 2030 Agenda for Sustainable Development, the Stockholm Declaration on the Human Environment, and the Rio Declaration on Environment and Development. The MTS defines UNEP’s vision, mission, strategic objectives, core functions, subprogrammes and indicators for measuring progress . Secondly, a biennial Programme of Work and Budget 2022-2023, based on the MTS, devised by UNEP and ratified by UNEA, details the activities, outputs, resources, and partnerships corresponding to each subprogramme . UNEP also supports the implementation of multilateral environmental agreements (MEAs) and regional seas conventions and action plans, which provide legal frameworks and operational mechanisms for addressing specific environmental issues and regions . Furthermore, UNEP's work is guided by a number of over-arching strategies, policies and guidelines for ensuring access to information, preventing and responding to misconduct and fraud, enhancing sustainability, and engaging with civil society and the private sector, etc. . Every two years, UNEA also adopts resolutions and decisions on various environmental topics, which guide UNEP’s implementation of its objectives and mandates . These strategies collectively ensure effective coordination and promotion of environmental action within the UN system and beyond.","The UN drives strategies through plans, advancing development.",Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
United Nations Development Programme (UNDP),"The UNDP executes its objectives via several strategies: firstly, a four-year Strategic Plan, revised annually by the Executive Board, establishes the UNDP's vision, mission, directions of change, signature solutions, and enablers. This plan, applicable for 2022-2025 , aligns with the 2030 Agenda for Sustainable Development and the Paris Agreement, and is structured around “3x6x3” - 3 directions of change, 6 signature solutions, and 3 enablers - to help countries expand human capabilities and development choices, build a more equitable world, and achieve the Sustainable Development Goals (SDGs). The three directions of change are structural transformation, leaving no one behind, and resilience. The six signature solutions are poverty and inequality, governance, resilience, environment, energy, and gender equality. The three enablers are strategic innovation, digitalization, and development financing. Secondly, an annual integrated budget and workplan, devised by the UNDP and ratified by the Executive Board, detail activities, outputs, indicators, and resources corresponding to each signature solution. The budget and workplan for 2024 is tailored to the countries' needs and stakeholders' priorities . The UNDP also maintains the SDG Accelerator Lab Network, a key aspect of the innovation and digitalisation of the UNDP . UNDP proposes a total budget of $5.4 billion for 2022-2025, comprising $1.4 billion for institutional effectiveness and $4 billion for development activities based on projected income and in alignment with the strategic plan outcomes and outputs. In order to achieve its mandate, UNDP relies entirely on voluntary contributions from UN Member States, multilateral organizations, private sector and other sources, in the form of unrestricted regular resources (core), and contributions earmarked for a specific theme, programme or project . Finally, various agreements, mechanisms, platforms, and initiatives provide an operational framework for implementing the UNDAF, the UNDP Strategic Plan, and the SDGs, addressing poverty and inequality, governance, resilience, environment, energy, and gender equality .","The UN drives strategies through plans, advancing governance.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
United Nations Conference on Trade and Development (UNCTAD),"The UNCTAD Secretariat implements its objectives and mandates through various strategies, such as the UNCTAD conference, held every four years, serving as the highest-level decision-making body on trade and development issues . The Conference sets the priorities and work programme of the organization . The current cycle is based on the Nairobi Maafikiano, adopted by the fourteenth session of the UNCTAD conference in 2016 , and detailed in the UNGA resolution 71/215 . Another strategy is a biennial programme plan and budget, which is prepared by the UNCTAD Secretariat and approved by the General Assembly, and outlines the expected accomplishments, indicators, and resources for each subprogramme of the organization . The current plan and budget for 2022-2023 are aligned with the UN development agenda and the Sustainable Development Goals, and detailed in [document A/76/6 (Sect. 12)] . A third is the UNCTAD technical cooperation strategy that lays out UNCTAD's technical cooperation objectives and provide the basis for systematic and robust, strategic secretariat-level coordination and decision-making for technical cooperation .","The UN drives strategies through plans, advancing development.",Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
"United Nations Industrial Development Organization (UNIDO),","UNIDO executes its objectives via several strategies: firstly, a four-year Medium-Term Programme Framework (MTPF), revised biennially by the Industrial Development Board, which defines the strategic guidance, directions, and priorities of the Organization . This framework, applicable for 2022-2025, aligns with the 2030 Agenda for Sustainable Development and the Sustainable Development Goals, detailed in document IDB.49/14 . Secondly, a biennial programme and budgets, prepared by the Secretariat and approved by the General Conference, which specify the outputs, indicators, and resources for each focus area of expertise and core function of the Organization. The current programme and budgets for 2022-2023 reflect the needs and expectations of the Member States and the development partners, as outlined in document GC.20/5 . It also maintains the Country Programme Frameworks (CPFs) and the Regional Programme Frameworks (RPFs) established under the MTPF, which provide the operational framework for implementing the Organization’s mandate at the country and regional levels . In addition, UNIDO is operationalising the Third Industrial Development Decade for Africa (2016–2025) (IDDA III) through the Roadmap Implementation of the Third Industrial Development Decade for Africa derived from General Assembly resolution 70/293 , to drive Africa on a path towards inclusive and sustainable industrial development. Likewise, UNIDO maintains various partnerships, platforms, initiatives, and networks that provide the collaborative framework for enhancing the impact and effectiveness of the Organization’s interventions, addressing cross-cutting issues such as gender, youth, innovation, and digitalization .","The UN drives strategies through frameworks, advancing sustainable development.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
